Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,Season,Division
05/08/2023,Barnsley,Port Vale,7,0,H,2324,E2
05/08/2023,Blackpool,Burton,2,0,H,2324,E2
05/08/2023,Bolton,Lincoln,3,0,H,2324,E2
05/08/2023,Cambridge,Oxford,2,0,H,2324,E2
05/08/2023,Carlisle,Fleetwood Town,1,1,D,2324,E2
05/08/2023,Charlton,Leyton Orient,1,0,H,2324,E2
05/08/2023,Derby,Wigan,1,2,A,2324,E2
05/08/2023,Northampton,Stevenage,0,1,A,2324,E2
05/08/2023,Portsmouth,Bristol Rvs,1,1,D,2324,E2
05/08/2023,Reading,Peterboro,0,1,A,2324,E2
05/08/2023,Shrewsbury,Cheltenham,1,0,H,2324,E2
05/08/2023,Wycombe,Exeter,0,3,A,2324,E2
12/08/2023,Bristol Rvs,Barnsley,1,1,D,2324,E2
12/08/2023,Burton,Derby,0,3,A,2324,E2
12/08/2023,Cheltenham,Bolton,0,3,A,2324,E2
12/08/2023,Exeter,Blackpool,0,0,D,2324,E2
12/08/2023,Fleetwood Town,Cambridge,0,2,A,2324,E2
12/08/2023,Leyton Orient,Portsmouth,0,4,A,2324,E2
12/08/2023,Lincoln,Wycombe,3,0,H,2324,E2
12/08/2023,Oxford,Carlisle,1,0,H,2324,E2
12/08/2023,Peterboro,Charlton,1,0,H,2324,E2
12/08/2023,Port Vale,Reading,1,0,H,2324,E2
12/08/2023,Stevenage,Shrewsbury,2,0,H,2324,E2
12/08/2023,Wigan,Northampton,2,1,H,2324,E2
15/08/2023,Barnsley,Peterboro,1,3,A,2324,E2
15/08/2023,Blackpool,Port Vale,0,0,D,2324,E2
15/08/2023,Bolton,Fleetwood Town,3,1,H,2324,E2
15/08/2023,Cambridge,Stevenage,1,2,A,2324,E2
15/08/2023,Carlisle,Wigan,1,1,D,2324,E2
15/08/2023,Charlton,Bristol Rvs,1,2,A,2324,E2
15/08/2023,Derby,Oxford,1,2,A,2324,E2
15/08/2023,Northampton,Lincoln,2,2,D,2324,E2
15/08/2023,Shrewsbury,Burton,2,1,H,2324,E2
15/08/2023,Wycombe,Leyton Orient,3,2,H,2324,E2
15/08/2023,Portsmouth,Exeter,1,0,H,2324,E2
15/08/2023,Reading,Cheltenham,1,0,H,2324,E2
19/08/2023,Bolton,Wigan,0,4,A,2324,E2
19/08/2023,Barnsley,Oxford,1,3,A,2324,E2
19/08/2023,Blackpool,Leyton Orient,0,0,D,2324,E2
19/08/2023,Cambridge,Bristol Rvs,2,0,H,2324,E2
19/08/2023,Carlisle,Exeter,0,2,A,2324,E2
19/08/2023,Charlton,Port Vale,2,3,A,2324,E2
19/08/2023,Derby,Fleetwood Town,1,0,H,2324,E2
19/08/2023,Northampton,Peterboro,1,0,H,2324,E2
19/08/2023,Portsmouth,Cheltenham,0,0,D,2324,E2
19/08/2023,Reading,Stevenage,2,0,H,2324,E2
19/08/2023,Shrewsbury,Lincoln,0,1,A,2324,E2
19/08/2023,Wycombe,Burton,0,0,D,2324,E2
26/08/2023,Bristol Rvs,Wycombe,1,2,A,2324,E2
26/08/2023,Burton,Bolton,1,1,D,2324,E2
26/08/2023,Cheltenham,Northampton,0,1,A,2324,E2
26/08/2023,Exeter,Reading,2,1,H,2324,E2
26/08/2023,Fleetwood Town,Shrewsbury,0,1,A,2324,E2
26/08/2023,Leyton Orient,Cambridge,2,0,H,2324,E2
26/08/2023,Lincoln,Blackpool,3,0,H,2324,E2
26/08/2023,Oxford,Charlton,2,1,H,2324,E2
26/08/2023,Peterboro,Derby,2,4,A,2324,E2
26/08/2023,Port Vale,Carlisle,1,0,H,2324,E2
26/08/2023,Stevenage,Portsmouth,0,0,D,2324,E2
26/08/2023,Wigan,Barnsley,0,2,A,2324,E2
02/09/2023,Blackpool,Wigan,2,1,H,2324,E2
02/09/2023,Bolton,Derby,2,1,H,2324,E2
02/09/2023,Bristol Rvs,Lincoln,1,1,D,2324,E2
02/09/2023,Burton,Exeter,0,1,A,2324,E2
02/09/2023,Carlisle,Shrewsbury,2,0,H,2324,E2
02/09/2023,Charlton,Fleetwood Town,2,1,H,2324,E2
02/09/2023,Cheltenham,Barnsley,0,2,A,2324,E2
02/09/2023,Leyton Orient,Stevenage,0,3,A,2324,E2
02/09/2023,Northampton,Wycombe,0,1,A,2324,E2
02/09/2023,Oxford,Port Vale,1,2,A,2324,E2
02/09/2023,Portsmouth,Peterboro,3,1,H,2324,E2
04/09/2023,Cambridge,Reading,1,0,H,2324,E2
09/09/2023,Exeter,Leyton Orient,1,2,A,2324,E2
09/09/2023,Stevenage,Carlisle,2,2,D,2324,E2
16/09/2023,Barnsley,Burton,2,0,H,2324,E2
16/09/2023,Derby,Portsmouth,1,1,D,2324,E2
16/09/2023,Exeter,Cheltenham,1,0,H,2324,E2
16/09/2023,Fleetwood Town,Oxford,0,3,A,2324,E2
16/09/2023,Lincoln,Carlisle,1,1,D,2324,E2
16/09/2023,Peterboro,Leyton Orient,1,1,D,2324,E2
16/09/2023,Port Vale,Northampton,1,0,H,2324,E2
16/09/2023,Reading,Bolton,2,1,H,2324,E2
16/09/2023,Shrewsbury,Bristol Rvs,0,2,A,2324,E2
16/09/2023,Stevenage,Charlton,1,1,D,2324,E2
16/09/2023,Wigan,Cambridge,2,1,H,2324,E2
16/09/2023,Wycombe,Blackpool,2,0,H,2324,E2
19/09/2023,Barnsley,Portsmouth,2,3,A,2324,E2
19/09/2023,Peterboro,Cheltenham,3,0,H,2324,E2
19/09/2023,Port Vale,Burton,2,3,A,2324,E2
23/09/2023,Blackpool,Reading,4,1,H,2324,E2
