Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,Season,Division
06/08/16,Bolton,Sheffield United,1,0,H,1617,E2
06/08/16,Bradford,Port Vale,0,0,D,1617,E2
06/08/16,Bury,Charlton,2,0,H,1617,E2
06/08/16,Millwall,Oldham,3,0,H,1617,E2
06/08/16,Northampton,Fleetwood Town,1,1,D,1617,E2
06/08/16,Oxford,Chesterfield,1,1,D,1617,E2
06/08/16,Rochdale,Peterboro,2,3,A,1617,E2
06/08/16,Scunthorpe,Bristol Rvs,3,1,H,1617,E2
06/08/16,Shrewsbury,Milton Keynes Dons,0,1,A,1617,E2
06/08/16,Southend,Gillingham,1,3,A,1617,E2
06/08/16,Swindon,Coventry,1,0,H,1617,E2
06/08/16,Walsall,AFC Wimbledon,3,1,H,1617,E2
13/08/16,AFC Wimbledon,Bolton,1,2,A,1617,E2
13/08/16,Charlton,Northampton,1,1,D,1617,E2
13/08/16,Chesterfield,Swindon,3,1,H,1617,E2
13/08/16,Coventry,Shrewsbury,0,0,D,1617,E2
13/08/16,Fleetwood Town,Scunthorpe,2,2,D,1617,E2
13/08/16,Gillingham,Bury,2,1,H,1617,E2
13/08/16,Milton Keynes Dons,Millwall,2,2,D,1617,E2
13/08/16,Oldham,Walsall,0,0,D,1617,E2
13/08/16,Peterboro,Bradford,0,1,A,1617,E2
13/08/16,Port Vale,Southend,2,0,H,1617,E2
13/08/16,Sheffield United,Rochdale,1,1,D,1617,E2
14/08/16,Bristol Rvs,Oxford,2,1,H,1617,E2
16/08/16,AFC Wimbledon,Scunthorpe,1,2,A,1617,E2
16/08/16,Charlton,Shrewsbury,3,0,H,1617,E2
16/08/16,Chesterfield,Walsall,2,0,H,1617,E2
16/08/16,Coventry,Bury,0,0,D,1617,E2
16/08/16,Gillingham,Swindon,1,1,D,1617,E2
16/08/16,Milton Keynes Dons,Bradford,1,2,A,1617,E2
16/08/16,Oldham,Northampton,0,0,D,1617,E2
16/08/16,Peterboro,Millwall,5,1,H,1617,E2
16/08/16,Port Vale,Rochdale,1,0,H,1617,E2
16/08/16,Sheffield United,Southend,0,3,A,1617,E2
17/08/16,Bristol Rvs,Bolton,1,2,A,1617,E2
17/08/16,Fleetwood Town,Oxford,2,0,H,1617,E2
20/08/16,Bolton,Fleetwood Town,2,1,H,1617,E2
20/08/16,Bradford,Coventry,3,1,H,1617,E2
20/08/16,Bury,Oldham,0,1,A,1617,E2
20/08/16,Millwall,Sheffield United,2,1,H,1617,E2
20/08/16,Northampton,AFC Wimbledon,0,0,D,1617,E2
20/08/16,Oxford,Peterboro,2,1,H,1617,E2
20/08/16,Rochdale,Milton Keynes Dons,0,1,A,1617,E2
20/08/16,Scunthorpe,Gillingham,5,0,H,1617,E2
20/08/16,Shrewsbury,Chesterfield,2,1,H,1617,E2
20/08/16,Southend,Bristol Rvs,1,1,D,1617,E2
20/08/16,Swindon,Port Vale,1,0,H,1617,E2
20/08/16,Walsall,Charlton,1,2,A,1617,E2
27/08/16,Bradford,Oldham,1,1,D,1617,E2
27/08/16,Charlton,Bolton,1,1,D,1617,E2
27/08/16,Chesterfield,Millwall,1,3,A,1617,E2
27/08/16,Coventry,Northampton,1,1,D,1617,E2
27/08/16,Milton Keynes Dons,Peterboro,0,2,A,1617,E2
27/08/16,Port Vale,Scunthorpe,3,1,H,1617,E2
27/08/16,Rochdale,AFC Wimbledon,1,1,D,1617,E2
27/08/16,Sheffield United,Oxford,2,1,H,1617,E2
