Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,Season,Division
03/08/2019,AFC Wimbledon,Rotherham,1,2,A,1920,E2
03/08/2019,Blackpool,Bristol Rvs,2,0,H,1920,E2
03/08/2019,Burton,Ipswich,0,1,A,1920,E2
03/08/2019,Coventry,Southend,1,0,H,1920,E2
03/08/2019,Doncaster,Gillingham,1,1,D,1920,E2
03/08/2019,Lincoln,Accrington,2,0,H,1920,E2
03/08/2019,Peterboro,Fleetwood Town,1,3,A,1920,E2
03/08/2019,Shrewsbury,Portsmouth,1,0,H,1920,E2
03/08/2019,Sunderland,Oxford,1,1,D,1920,E2
03/08/2019,Tranmere,Rochdale,2,3,A,1920,E2
03/08/2019,Wycombe,Bolton,2,0,H,1920,E2
10/08/2019,Bolton,Coventry,0,0,D,1920,E2
10/08/2019,Bristol Rvs,Wycombe,0,0,D,1920,E2
10/08/2019,Fleetwood Town,AFC Wimbledon,2,1,H,1920,E2
10/08/2019,Gillingham,Burton,1,2,A,1920,E2
10/08/2019,Ipswich,Sunderland,1,1,D,1920,E2
10/08/2019,Milton Keynes Dons,Shrewsbury,1,0,H,1920,E2
10/08/2019,Oxford,Peterboro,1,0,H,1920,E2
10/08/2019,Portsmouth,Tranmere,2,0,H,1920,E2
10/08/2019,Rochdale,Doncaster,1,1,D,1920,E2
10/08/2019,Rotherham,Lincoln,0,2,A,1920,E2
10/08/2019,Southend,Blackpool,1,3,A,1920,E2
17/08/2019,Sunderland,Portsmouth,2,1,H,1920,E2
17/08/2019,AFC Wimbledon,Accrington,1,1,D,1920,E2
17/08/2019,Blackpool,Oxford,2,1,H,1920,E2
17/08/2019,Burton,Rotherham,0,1,A,1920,E2
17/08/2019,Coventry,Bristol Rvs,2,0,H,1920,E2
17/08/2019,Doncaster,Fleetwood Town,3,2,H,1920,E2
17/08/2019,Lincoln,Southend,4,0,H,1920,E2
17/08/2019,Peterboro,Ipswich,2,2,D,1920,E2
17/08/2019,Shrewsbury,Rochdale,0,0,D,1920,E2
17/08/2019,Tranmere,Bolton,5,0,H,1920,E2
17/08/2019,Wycombe,Milton Keynes Dons,3,2,H,1920,E2
20/08/2019,Accrington,Shrewsbury,2,3,A,1920,E2
20/08/2019,Bristol Rvs,Tranmere,2,0,H,1920,E2
20/08/2019,Fleetwood Town,Wycombe,1,1,D,1920,E2
20/08/2019,Gillingham,Blackpool,2,2,D,1920,E2
20/08/2019,Ipswich,AFC Wimbledon,2,1,H,1920,E2
20/08/2019,Milton Keynes Dons,Lincoln,2,1,H,1920,E2
20/08/2019,Oxford,Burton,2,4,A,1920,E2
20/08/2019,Portsmouth,Coventry,3,3,D,1920,E2
20/08/2019,Rochdale,Sunderland,1,2,A,1920,E2
20/08/2019,Southend,Peterboro,0,2,A,1920,E2
24/08/2019,Doncaster,Lincoln,2,1,H,1920,E2
24/08/2019,Bolton,Ipswich,0,5,A,1920,E2
24/08/2019,Bristol Rvs,Oxford,3,1,H,1920,E2
24/08/2019,Coventry,Gillingham,1,0,H,1920,E2
24/08/2019,Fleetwood Town,Accrington,2,0,H,1920,E2
24/08/2019,Milton Keynes Dons,Peterboro,0,4,A,1920,E2
24/08/2019,Rochdale,Blackpool,0,0,D,1920,E2
24/08/2019,Shrewsbury,Burton,0,0,D,1920,E2
24/08/2019,Sunderland,AFC Wimbledon,3,1,H,1920,E2
24/08/2019,Wycombe,Southend,4,3,H,1920,E2
31/08/2019,Accrington,Milton Keynes Dons,2,1,H,1920,E2
31/08/2019,AFC Wimbledon,Wycombe,0,0,D,1920,E2
31/08/2019,Blackpool,Portsmouth,1,1,D,1920,E2
31/08/2019,Burton,Bristol Rvs,2,0,H,1920,E2
31/08/2019,Gillingham,Bolton,5,0,H,1920,E2
31/08/2019,Ipswich,Shrewsbury,3,0,H,1920,E2
31/08/2019,Lincoln,Fleetwood Town,2,0,H,1920,E2
31/08/2019,Oxford,Coventry,3,3,D,1920,E2
31/08/2019,Peterboro,Sunderland,3,0,H,1920,E2
31/08/2019,Rotherham,Tranmere,1,1,D,1920,E2
31/08/2019,Southend,Rochdale,0,3,A,1920,E2
07/09/2019,Milton Keynes Dons,AFC Wimbledon,2,1,H,1920,E2
07/09/2019,Doncaster,Rotherham,2,1,H,1920,E2
