Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,Season,Division
12/09/2020,Accrington,Peterboro,2,0,H,2021,E2
12/09/2020,Crewe,Charlton,0,2,A,2021,E2
12/09/2020,Doncaster,Milton Keynes Dons,1,1,D,2021,E2
12/09/2020,Fleetwood Town,Burton,2,1,H,2021,E2
12/09/2020,Gillingham,Hull,0,2,A,2021,E2
12/09/2020,Lincoln,Oxford,2,0,H,2021,E2
12/09/2020,Northampton,AFC Wimbledon,2,2,D,2021,E2
12/09/2020,Plymouth,Blackpool,1,0,H,2021,E2
12/09/2020,Portsmouth,Shrewsbury,0,0,D,2021,E2
12/09/2020,Sunderland,Bristol Rvs,1,1,D,2021,E2
12/09/2020,Swindon,Rochdale,3,1,H,2021,E2
13/09/2020,Ipswich,Wigan,2,0,H,2021,E2
19/09/2020,AFC Wimbledon,Plymouth,4,4,D,2021,E2
19/09/2020,Blackpool,Swindon,2,0,H,2021,E2
19/09/2020,Bristol Rvs,Ipswich,0,2,A,2021,E2
19/09/2020,Burton,Accrington,2,1,H,2021,E2
19/09/2020,Charlton,Doncaster,1,3,A,2021,E2
19/09/2020,Hull,Crewe,1,0,H,2021,E2
19/09/2020,Milton Keynes Dons,Lincoln,1,2,A,2021,E2
19/09/2020,Oxford,Sunderland,0,2,A,2021,E2
19/09/2020,Peterboro,Fleetwood Town,2,1,H,2021,E2
19/09/2020,Shrewsbury,Northampton,1,2,A,2021,E2
19/09/2020,Wigan,Gillingham,2,3,A,2021,E2
20/09/2020,Rochdale,Portsmouth,0,0,D,2021,E2
26/09/2020,Accrington,Oxford,1,4,A,2021,E2
26/09/2020,Crewe,Milton Keynes Dons,2,0,H,2021,E2
26/09/2020,Doncaster,Bristol Rvs,4,1,H,2021,E2
26/09/2020,Fleetwood Town,AFC Wimbledon,0,1,A,2021,E2
26/09/2020,Gillingham,Blackpool,2,0,H,2021,E2
26/09/2020,Ipswich,Rochdale,2,0,H,2021,E2
26/09/2020,Northampton,Hull,0,2,A,2021,E2
26/09/2020,Plymouth,Shrewsbury,1,1,D,2021,E2
26/09/2020,Portsmouth,Wigan,1,2,A,2021,E2
26/09/2020,Sunderland,Peterboro,1,0,H,2021,E2
26/09/2020,Swindon,Burton,4,2,H,2021,E2
