Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,Season,Division
30/07/2022,Accrington,Charlton,2,2,D,2223,E2
30/07/2022,Bristol Rvs,Forest Green,1,2,A,2223,E2
30/07/2022,Cambridge,Milton Keynes Dons,1,0,H,2223,E2
30/07/2022,Cheltenham,Peterboro,2,3,A,2223,E2
30/07/2022,Derby,Oxford,1,0,H,2223,E2
30/07/2022,Ipswich,Bolton,1,1,D,2223,E2
30/07/2022,Lincoln,Exeter,1,1,D,2223,E2
30/07/2022,Morecambe,Shrewsbury,0,0,D,2223,E2
30/07/2022,Plymouth,Barnsley,1,0,H,2223,E2
30/07/2022,Port Vale,Fleetwood Town,2,1,H,2223,E2
30/07/2022,Sheffield Weds,Portsmouth,3,3,D,2223,E2
30/07/2022,Wycombe,Burton,3,0,H,2223,E2
06/08/2022,Barnsley,Cheltenham,1,0,H,2223,E2
06/08/2022,Bolton,Wycombe,3,0,H,2223,E2
06/08/2022,Burton,Bristol Rvs,0,4,A,2223,E2
06/08/2022,Charlton,Derby,1,0,H,2223,E2
06/08/2022,Exeter,Port Vale,4,0,H,2223,E2
06/08/2022,Fleetwood Town,Plymouth,2,1,H,2223,E2
06/08/2022,Forest Green,Ipswich,1,2,A,2223,E2
06/08/2022,Milton Keynes Dons,Sheffield Weds,0,1,A,2223,E2
06/08/2022,Oxford,Cambridge,1,0,H,2223,E2
06/08/2022,Peterboro,Morecambe,3,0,H,2223,E2
06/08/2022,Portsmouth,Lincoln,0,0,D,2223,E2
06/08/2022,Shrewsbury,Accrington,0,1,A,2223,E2
13/08/2022,Bristol Rvs,Oxford,1,0,H,2223,E2
13/08/2022,Accrington,Burton,4,4,D,2223,E2
13/08/2022,Cambridge,Exeter,2,1,H,2223,E2
13/08/2022,Cheltenham,Portsmouth,0,2,A,2223,E2
13/08/2022,Derby,Barnsley,2,1,H,2223,E2
13/08/2022,Ipswich,Milton Keynes Dons,3,0,H,2223,E2
13/08/2022,Lincoln,Forest Green,1,1,D,2223,E2
13/08/2022,Morecambe,Fleetwood Town,1,1,D,2223,E2
13/08/2022,Plymouth,Peterboro,2,0,H,2223,E2
13/08/2022,Port Vale,Bolton,0,0,D,2223,E2
13/08/2022,Sheffield Weds,Charlton,1,0,H,2223,E2
13/08/2022,Wycombe,Shrewsbury,1,2,A,2223,E2
16/08/2022,Barnsley,Bristol Rvs,3,0,H,2223,E2
16/08/2022,Bolton,Morecambe,1,0,H,2223,E2
16/08/2022,Burton,Ipswich,0,1,A,2223,E2
16/08/2022,Charlton,Plymouth,5,1,H,2223,E2
16/08/2022,Exeter,Wycombe,3,1,H,2223,E2
16/08/2022,Fleetwood Town,Cheltenham,0,0,D,2223,E2
16/08/2022,Milton Keynes Dons,Port Vale,2,1,H,2223,E2
16/08/2022,Oxford,Lincoln,1,2,A,2223,E2
16/08/2022,Peterboro,Sheffield Weds,2,0,H,2223,E2
16/08/2022,Portsmouth,Cambridge,4,1,H,2223,E2
16/08/2022,Shrewsbury,Derby,0,0,D,2223,E2
20/08/2022,Barnsley,Wycombe,0,3,A,2223,E2
20/08/2022,Bolton,Sheffield Weds,0,2,A,2223,E2
20/08/2022,Burton,Port Vale,0,2,A,2223,E2
20/08/2022,Charlton,Cambridge,1,1,D,2223,E2
20/08/2022,Exeter,Cheltenham,0,1,A,2223,E2
20/08/2022,Fleetwood Town,Derby,0,0,D,2223,E2
20/08/2022,Forest Green,Plymouth,0,3,A,2223,E2
20/08/2022,Milton Keynes Dons,Accrington,1,1,D,2223,E2
