Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,Season,Division
04/08/2018,Accrington,Gillingham,0,2,A,1819,E2
04/08/2018,Barnsley,Oxford,4,0,H,1819,E2
04/08/2018,Burton,Rochdale,1,2,A,1819,E2
04/08/2018,Coventry,Scunthorpe,1,2,A,1819,E2
04/08/2018,Fleetwood Town,AFC Wimbledon,0,1,A,1819,E2
04/08/2018,Peterboro,Bristol Rvs,2,1,H,1819,E2
04/08/2018,Portsmouth,Luton,1,0,H,1819,E2
04/08/2018,Shrewsbury,Bradford,0,1,A,1819,E2
04/08/2018,Southend,Doncaster,2,3,A,1819,E2
04/08/2018,Sunderland,Charlton,2,1,H,1819,E2
04/08/2018,Walsall,Plymouth,2,1,H,1819,E2
04/08/2018,Wycombe,Blackpool,0,0,D,1819,E2
11/08/2018,AFC Wimbledon,Coventry,0,0,D,1819,E2
11/08/2018,Blackpool,Portsmouth,1,2,A,1819,E2
11/08/2018,Bradford,Barnsley,0,2,A,1819,E2
11/08/2018,Bristol Rvs,Accrington,1,2,A,1819,E2
11/08/2018,Charlton,Shrewsbury,2,1,H,1819,E2
11/08/2018,Doncaster,Wycombe,3,0,H,1819,E2
11/08/2018,Gillingham,Burton,3,1,H,1819,E2
11/08/2018,Luton,Sunderland,1,1,D,1819,E2
11/08/2018,Oxford,Fleetwood Town,0,2,A,1819,E2
11/08/2018,Plymouth,Southend,1,1,D,1819,E2
11/08/2018,Rochdale,Peterboro,1,4,A,1819,E2
11/08/2018,Scunthorpe,Walsall,1,1,D,1819,E2
18/08/2018,Accrington,Charlton,1,1,D,1819,E2
18/08/2018,Barnsley,AFC Wimbledon,0,0,D,1819,E2
18/08/2018,Burton,Doncaster,1,0,H,1819,E2
18/08/2018,Coventry,Plymouth,1,0,H,1819,E2
18/08/2018,Fleetwood Town,Rochdale,2,2,D,1819,E2
18/08/2018,Peterboro,Luton,3,1,H,1819,E2
18/08/2018,Portsmouth,Oxford,4,1,H,1819,E2
18/08/2018,Shrewsbury,Blackpool,0,0,D,1819,E2
18/08/2018,Southend,Bradford,2,0,H,1819,E2
18/08/2018,Walsall,Gillingham,2,1,H,1819,E2
18/08/2018,Wycombe,Bristol Rvs,1,2,A,1819,E2
19/08/2018,Sunderland,Scunthorpe,3,0,H,1819,E2
21/08/2018,AFC Wimbledon,Walsall,1,3,A,1819,E2
21/08/2018,Blackpool,Coventry,2,0,H,1819,E2
21/08/2018,Bradford,Burton,1,0,H,1819,E2
21/08/2018,Bristol Rvs,Portsmouth,1,2,A,1819,E2
21/08/2018,Charlton,Peterboro,0,1,A,1819,E2
21/08/2018,Doncaster,Shrewsbury,0,0,D,1819,E2
21/08/2018,Luton,Southend,2,0,H,1819,E2
21/08/2018,Oxford,Accrington,2,3,A,1819,E2
21/08/2018,Plymouth,Wycombe,1,1,D,1819,E2
21/08/2018,Rochdale,Barnsley,0,4,A,1819,E2
22/08/2018,Gillingham,Sunderland,1,4,A,1819,E2
22/08/2018,Scunthorpe,Fleetwood Town,0,5,A,1819,E2
25/08/2018,AFC Wimbledon,Sunderland,1,2,A,1819,E2
25/08/2018,Blackpool,Accrington,1,1,D,1819,E2
25/08/2018,Bradford,Wycombe,1,2,A,1819,E2
25/08/2018,Bristol Rvs,Southend,0,1,A,1819,E2
25/08/2018,Charlton,Fleetwood Town,0,0,D,1819,E2
25/08/2018,Doncaster,Portsmouth,0,0,D,1819,E2
25/08/2018,Gillingham,Coventry,1,1,D,1819,E2
25/08/2018,Luton,Shrewsbury,3,2,H,1819,E2
25/08/2018,Oxford,Burton,3,1,H,1819,E2
25/08/2018,Plymouth,Peterboro,1,5,A,1819,E2
25/08/2018,Rochdale,Walsall,1,2,A,1819,E2
25/08/2018,Scunthorpe,Barnsley,2,2,D,1819,E2
01/09/2018,Accrington,Scunthorpe,1,1,D,1819,E2
01/09/2018,Barnsley,Gillingham,2,1,H,1819,E2
01/09/2018,Burton,AFC Wimbledon,3,0,H,1819,E2
01/09/2018,Coventry,Rochdale,0,1,A,1819,E2
01/09/2018,Fleetwood Town,Bradford,2,1,H,1819,E2
01/09/2018,Peterboro,Doncaster,1,1,D,1819,E2
01/09/2018,Portsmouth,Plymouth,3,0,H,1819,E2
01/09/2018,Shrewsbury,Bristol Rvs,1,1,D,1819,E2
01/09/2018,Southend,Charlton,1,2,A,1819,E2
01/09/2018,Sunderland,Oxford,1,1,D,1819,E2
01/09/2018,Walsall,Blackpool,0,0,D,1819,E2
01/09/2018,Wycombe,Luton,1,1,D,1819,E2
08/09/2018,Accrington,Burton,1,1,D,1819,E2
08/09/2018,Barnsley,Walsall,1,1,D,1819,E2
08/09/2018,Blackpool,Bradford,3,2,H,1819,E2
08/09/2018,Bristol Rvs,Plymouth,0,0,D,1819,E2
08/09/2018,Charlton,Wycombe,3,2,H,1819,E2
08/09/2018,Doncaster,Luton,2,1,H,1819,E2
08/09/2018,Gillingham,AFC Wimbledon,0,1,A,1819,E2
08/09/2018,Portsmouth,Shrewsbury,1,1,D,1819,E2
08/09/2018,Scunthorpe,Rochdale,3,3,D,1819,E2
08/09/2018,Southend,Peterboro,2,3,A,1819,E2
08/09/2018,Sunderland,Fleetwood Town,1,1,D,1819,E2
09/09/2018,Oxford,Coventry,1,2,A,1819,E2
15/09/2018,AFC Wimbledon,Scunthorpe,2,3,A,1819,E2
15/09/2018,Bradford,Charlton,0,2,A,1819,E2
15/09/2018,Burton,Sunderland,2,1,H,1819,E2
15/09/2018,Coventry,Barnsley,1,0,H,1819,E2
15/09/2018,Fleetwood Town,Accrington,1,1,D,1819,E2
15/09/2018,Luton,Bristol Rvs,1,0,H,1819,E2
15/09/2018,Peterboro,Portsmouth,1,2,A,1819,E2
15/09/2018,Plymouth,Blackpool,0,1,A,1819,E2
15/09/2018,Rochdale,Gillingham,3,0,H,1819,E2
15/09/2018,Shrewsbury,Southend,2,0,H,1819,E2
15/09/2018,Walsall,Doncaster,1,4,A,1819,E2
15/09/2018,Wycombe,Oxford,0,0,D,1819,E2
22/09/2018,Accrington,AFC Wimbledon,2,1,H,1819,E2
22/09/2018,Blackpool,Luton,0,0,D,1819,E2
22/09/2018,Bristol Rvs,Coventry,3,1,H,1819,E2
22/09/2018,Charlton,Plymouth,2,1,H,1819,E2
22/09/2018,Doncaster,Bradford,2,1,H,1819,E2
22/09/2018,Gillingham,Peterboro,2,4,A,1819,E2
22/09/2018,Oxford,Walsall,1,2,A,1819,E2
22/09/2018,Portsmouth,Wycombe,2,2,D,1819,E2
22/09/2018,Scunthorpe,Shrewsbury,1,0,H,1819,E2
22/09/2018,Southend,Fleetwood Town,1,0,H,1819,E2
22/09/2018,Sunderland,Rochdale,4,1,H,1819,E2
29/09/2018,AFC Wimbledon,Oxford,2,1,H,1819,E2
29/09/2018,Bradford,Bristol Rvs,0,0,D,1819,E2
29/09/2018,Burton,Scunthorpe,0,0,D,1819,E2
29/09/2018,Coventry,Sunderland,1,1,D,1819,E2
29/09/2018,Fleetwood Town,Barnsley,1,3,A,1819,E2
29/09/2018,Luton,Charlton,2,2,D,1819,E2
29/09/2018,Peterboro,Blackpool,2,2,D,1819,E2
29/09/2018,Plymouth,Doncaster,2,3,A,1819,E2
29/09/2018,Rochdale,Portsmouth,1,3,A,1819,E2
29/09/2018,Shrewsbury,Gillingham,2,2,D,1819,E2
29/09/2018,Walsall,Accrington,0,1,A,1819,E2
29/09/2018,Wycombe,Southend,2,3,A,1819,E2
02/10/2018,Accrington,Doncaster,1,0,H,1819,E2
02/10/2018,AFC Wimbledon,Bradford,0,1,A,1819,E2
02/10/2018,Barnsley,Plymouth,1,1,D,1819,E2
02/10/2018,Burton,Southend,1,2,A,1819,E2
02/10/2018,Coventry,Portsmouth,0,1,A,1819,E2
02/10/2018,Fleetwood Town,Wycombe,1,1,D,1819,E2
02/10/2018,Oxford,Luton,1,2,A,1819,E2
02/10/2018,Rochdale,Bristol Rvs,0,0,D,1819,E2
02/10/2018,Scunthorpe,Charlton,5,3,H,1819,E2
02/10/2018,Sunderland,Peterboro,2,2,D,1819,E2
02/10/2018,Walsall,Shrewsbury,0,0,D,1819,E2
06/10/2018,Blackpool,Rochdale,2,2,D,1819,E2
06/10/2018,Bradford,Sunderland,1,2,A,1819,E2
06/10/2018,Bristol Rvs,Walsall,0,1,A,1819,E2
06/10/2018,Charlton,Coventry,1,2,A,1819,E2
06/10/2018,Doncaster,Fleetwood Town,0,4,A,1819,E2
06/10/2018,Luton,Scunthorpe,3,2,H,1819,E2
06/10/2018,Peterboro,Barnsley,0,4,A,1819,E2
06/10/2018,Plymouth,AFC Wimbledon,1,0,H,1819,E2
06/10/2018,Portsmouth,Gillingham,0,2,A,1819,E2
06/10/2018,Shrewsbury,Accrington,1,0,H,1819,E2
06/10/2018,Southend,Oxford,0,0,D,1819,E2
06/10/2018,Wycombe,Burton,2,1,H,1819,E2
13/10/2018,Accrington,Bradford,3,1,H,1819,E2
13/10/2018,AFC Wimbledon,Portsmouth,1,2,A,1819,E2
13/10/2018,Barnsley,Luton,3,2,H,1819,E2
13/10/2018,Burton,Bristol Rvs,1,0,H,1819,E2
13/10/2018,Coventry,Wycombe,1,0,H,1819,E2
13/10/2018,Fleetwood Town,Shrewsbury,2,1,H,1819,E2
13/10/2018,Gillingham,Southend,0,2,A,1819,E2
13/10/2018,Oxford,Plymouth,2,0,H,1819,E2
13/10/2018,Rochdale,Doncaster,2,3,A,1819,E2
13/10/2018,Scunthorpe,Peterboro,0,2,A,1819,E2
20/10/2018,Blackpool,AFC Wimbledon,2,0,H,1819,E2
20/10/2018,Bradford,Rochdale,0,2,A,1819,E2
20/10/2018,Bristol Rvs,Oxford,0,0,D,1819,E2
20/10/2018,Charlton,Barnsley,2,0,H,1819,E2
20/10/2018,Doncaster,Gillingham,3,3,D,1819,E2
20/10/2018,Luton,Walsall,2,0,H,1819,E2
20/10/2018,Peterboro,Accrington,0,1,A,1819,E2
20/10/2018,Plymouth,Burton,2,3,A,1819,E2
20/10/2018,Portsmouth,Fleetwood Town,1,0,H,1819,E2
20/10/2018,Shrewsbury,Sunderland,0,2,A,1819,E2
20/10/2018,Southend,Coventry,1,2,A,1819,E2
20/10/2018,Wycombe,Scunthorpe,3,2,H,1819,E2
23/10/2018,Blackpool,Scunthorpe,1,0,H,1819,E2
23/10/2018,Bradford,Coventry,2,4,A,1819,E2
23/10/2018,Bristol Rvs,AFC Wimbledon,2,0,H,1819,E2
23/10/2018,Charlton,Oxford,1,1,D,1819,E2
23/10/2018,Doncaster,Sunderland,0,1,A,1819,E2
23/10/2018,Luton,Accrington,4,1,H,1819,E2
23/10/2018,Peterboro,Fleetwood Town,1,0,H,1819,E2
23/10/2018,Plymouth,Gillingham,3,1,H,1819,E2
23/10/2018,Portsmouth,Burton,2,2,D,1819,E2
23/10/2018,Shrewsbury,Barnsley,3,1,H,1819,E2
23/10/2018,Southend,Walsall,3,0,H,1819,E2
23/10/2018,Wycombe,Rochdale,3,0,H,1819,E2
27/10/2018,Accrington,Portsmouth,1,1,D,1819,E2
27/10/2018,AFC Wimbledon,Luton,0,2,A,1819,E2
27/10/2018,Barnsley,Bristol Rvs,1,0,H,1819,E2
27/10/2018,Burton,Peterboro,1,2,A,1819,E2
27/10/2018,Coventry,Doncaster,2,1,H,1819,E2
27/10/2018,Fleetwood Town,Blackpool,3,2,H,1819,E2
27/10/2018,Gillingham,Bradford,4,0,H,1819,E2
27/10/2018,Oxford,Shrewsbury,3,0,H,1819,E2
27/10/2018,Rochdale,Charlton,1,0,H,1819,E2
27/10/2018,Scunthorpe,Plymouth,1,4,A,1819,E2
27/10/2018,Sunderland,Southend,3,0,H,1819,E2
27/10/2018,Walsall,Wycombe,3,2,H,1819,E2
03/11/2018,AFC Wimbledon,Shrewsbury,1,2,A,1819,E2
03/11/2018,Barnsley,Southend,1,0,H,1819,E2
03/11/2018,Blackpool,Bristol Rvs,0,3,A,1819,E2
03/11/2018,Bradford,Portsmouth,0,1,A,1819,E2
03/11/2018,Charlton,Doncaster,2,0,H,1819,E2
03/11/2018,Coventry,Accrington,1,1,D,1819,E2
03/11/2018,Gillingham,Fleetwood Town,3,0,H,1819,E2
03/11/2018,Plymouth,Sunderland,0,2,A,1819,E2
03/11/2018,Rochdale,Luton,0,0,D,1819,E2
03/11/2018,Scunthorpe,Oxford,3,3,D,1819,E2
03/11/2018,Walsall,Burton,1,3,A,1819,E2
03/11/2018,Wycombe,Peterboro,1,0,H,1819,E2
06/11/2018,Gillingham,Blackpool,0,1,A,1819,E2
06/11/2018,Walsall,Charlton,0,2,A,1819,E2
17/11/2018,Accrington,Barnsley,0,2,A,1819,E2
17/11/2018,Bristol Rvs,Scunthorpe,1,2,A,1819,E2
17/11/2018,Burton,Coventry,1,0,H,1819,E2
17/11/2018,Doncaster,AFC Wimbledon,2,1,H,1819,E2
17/11/2018,Fleetwood Town,Walsall,0,0,D,1819,E2
17/11/2018,Luton,Plymouth,5,1,H,1819,E2
17/11/2018,Oxford,Gillingham,1,0,H,1819,E2
17/11/2018,Peterboro,Bradford,1,1,D,1819,E2
17/11/2018,Shrewsbury,Rochdale,3,2,H,1819,E2
17/11/2018,Southend,Blackpool,1,2,A,1819,E2
17/11/2018,Sunderland,Wycombe,1,1,D,1819,E2
23/11/2018,Coventry,Peterboro,1,1,D,1819,E2
24/11/2018,AFC Wimbledon,Southend,2,1,H,1819,E2
24/11/2018,Barnsley,Doncaster,1,1,D,1819,E2
24/11/2018,Blackpool,Burton,3,0,H,1819,E2
24/11/2018,Bradford,Oxford,2,0,H,1819,E2
24/11/2018,Charlton,Bristol Rvs,3,1,H,1819,E2
24/11/2018,Gillingham,Luton,1,3,A,1819,E2
24/11/2018,Plymouth,Fleetwood Town,2,1,H,1819,E2
24/11/2018,Rochdale,Accrington,1,0,H,1819,E2
24/11/2018,Scunthorpe,Portsmouth,1,2,A,1819,E2
24/11/2018,Walsall,Sunderland,2,2,D,1819,E2
24/11/2018,Wycombe,Shrewsbury,3,2,H,1819,E2
27/11/2018,Accrington,Wycombe,1,2,A,1819,E2
27/11/2018,Bristol Rvs,Gillingham,1,2,A,1819,E2
27/11/2018,Burton,Charlton,1,2,A,1819,E2
27/11/2018,Doncaster,Blackpool,2,0,H,1819,E2
27/11/2018,Fleetwood Town,Coventry,3,0,H,1819,E2
27/11/2018,Luton,Bradford,4,0,H,1819,E2
27/11/2018,Oxford,Rochdale,4,2,H,1819,E2
27/11/2018,Peterboro,AFC Wimbledon,1,0,H,1819,E2
27/11/2018,Portsmouth,Walsall,2,0,H,1819,E2
27/11/2018,Shrewsbury,Plymouth,2,0,H,1819,E2
27/11/2018,Southend,Scunthorpe,2,0,H,1819,E2
27/11/2018,Sunderland,Barnsley,4,2,H,1819,E2
08/12/2018,AFC Wimbledon,Rochdale,1,1,D,1819,E2
08/12/2018,Blackpool,Charlton,2,1,H,1819,E2
08/12/2018,Bristol Rvs,Doncaster,0,4,A,1819,E2
08/12/2018,Burton,Shrewsbury,2,1,H,1819,E2
08/12/2018,Luton,Fleetwood Town,2,0,H,1819,E2
08/12/2018,Peterboro,Oxford,2,2,D,1819,E2
08/12/2018,Plymouth,Bradford,3,3,D,1819,E2
08/12/2018,Portsmouth,Southend,2,0,H,1819,E2
08/12/2018,Scunthorpe,Gillingham,0,2,A,1819,E2
08/12/2018,Walsall,Coventry,2,1,H,1819,E2
08/12/2018,Wycombe,Barnsley,1,0,H,1819,E2
11/12/2018,Portsmouth,Charlton,1,2,A,1819,E2
15/12/2018,Barnsley,Portsmouth,1,1,D,1819,E2
15/12/2018,Bradford,Walsall,4,0,H,1819,E2
15/12/2018,Charlton,AFC Wimbledon,2,0,H,1819,E2
15/12/2018,Coventry,Luton,1,2,A,1819,E2
15/12/2018,Doncaster,Scunthorpe,3,0,H,1819,E2
