Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,Season,Division
09/08/2024,Barnsley,Mansfield,1,2,A,2425,E2
10/08/2024,Birmingham,Reading,1,1,D,2425,E2
10/08/2024,Bristol Rvs,Northampton,1,0,H,2425,E2
10/08/2024,Burton,Lincoln,2,3,A,2425,E2
10/08/2024,Crawley Town,Blackpool,2,1,H,2425,E2
10/08/2024,Exeter,Rotherham,1,0,H,2425,E2
10/08/2024,Leyton Orient,Bolton,1,2,A,2425,E2
10/08/2024,Peterboro,Huddersfield,0,2,A,2425,E2
10/08/2024,Stevenage,Shrewsbury,1,0,H,2425,E2
10/08/2024,Stockport,Cambridge,2,0,H,2425,E2
10/08/2024,Wigan,Charlton,0,1,A,2425,E2
10/08/2024,Wrexham,Wycombe,3,2,H,2425,E2
17/08/2024,Charlton,Leyton Orient,1,0,H,2425,E2
17/08/2024,Shrewsbury,Peterboro,1,4,A,2425,E2
17/08/2024,Blackpool,Stockport,0,3,A,2425,E2
17/08/2024,Cambridge,Crawley Town,0,1,A,2425,E2
17/08/2024,Huddersfield,Stevenage,2,1,H,2425,E2
17/08/2024,Lincoln,Barnsley,1,2,A,2425,E2
17/08/2024,Mansfield,Burton,3,3,D,2425,E2
17/08/2024,Northampton,Exeter,2,1,H,2425,E2
17/08/2024,Reading,Wigan,2,0,H,2425,E2
17/08/2024,Rotherham,Bristol Rvs,0,0,D,2425,E2
17/08/2024,Wycombe,Birmingham,2,3,A,2425,E2
18/08/2024,Bolton,Wrexham,0,0,D,2425,E2
24/08/2024,Burton,Stevenage,0,0,D,2425,E2
24/08/2024,Stockport,Bristol Rvs,2,0,H,2425,E2
24/08/2024,Barnsley,Northampton,2,2,D,2425,E2
24/08/2024,Cambridge,Blackpool,4,4,D,2425,E2
24/08/2024,Charlton,Bolton,2,0,H,2425,E2
24/08/2024,Exeter,Peterboro,1,2,A,2425,E2
24/08/2024,Huddersfield,Shrewsbury,1,0,H,2425,E2
24/08/2024,Leyton Orient,Birmingham,1,2,A,2425,E2
24/08/2024,Lincoln,Mansfield,4,1,H,2425,E2
24/08/2024,Wigan,Crawley Town,1,0,H,2425,E2
24/08/2024,Wrexham,Reading,3,0,H,2425,E2
24/08/2024,Wycombe,Rotherham,2,0,H,2425,E2
31/08/2024,Blackpool,Wycombe,2,2,D,2425,E2
31/08/2024,Rotherham,Huddersfield,2,1,H,2425,E2
