team,ranking,points,w,d,l,goals_for,goals_against,goal_difference,matched_played,last_date,ppg
Crewe,45,1888,514,346,608,1910,2149,-239,1468,2025-09-13,1.2861035422343323
Port Vale,43,1891,507,370,595,1798,1957,-159,1472,2025-09-20,1.2846467391304348
QPR,52,1843,482,397,559,1763,1924,-161,1438,2025-09-20,1.2816411682892908
Cheltenham,81,1466,380,326,443,1371,1553,-182,1149,2025-09-20,1.2758920800696258
Newport County,100,703,185,148,218,648,730,-82,551,2025-09-20,1.2758620689655173
Sutton,115,176,46,38,54,174,195,-21,138,2024-04-20,1.2753623188405796
Coventry,61,1793,464,401,545,1693,1845,-152,1410,2025-09-13,1.2716312056737589
Forest Green,106,396,106,78,128,374,426,-52,312,2024-04-27,1.2692307692307692
Shrewsbury,60,1800,467,399,553,1675,1824,-149,1419,2025-09-13,1.2684989429175475
Southampton,74,1638,430,348,516,1664,1827,-163,1294,2025-09-14,1.2658423493044821
Crawley Town,97,809,215,164,265,791,939,-148,644,2025-09-13,1.2562111801242235
Torquay,88,1087,275,262,329,1050,1177,-127,866,2014-05-03,1.2551963048498844
Oldham,72,1654,417,403,510,1604,1761,-157,1330,2025-09-13,1.243609022556391
Hartlepool,80,1480,390,310,492,1446,1647,-201,1192,2023-04-29,1.2416107382550337
Wimbledon,102,567,146,129,183,579,686,-107,458,2004-05-09,1.237991266375546
Boston,112,282,72,66,92,268,308,-40,230,2007-04-28,1.2260869565217392
Barrow,110,293,77,62,100,265,286,-21,239,2025-09-20,1.2259414225941423
Yeovil,95,901,239,184,313,861,1023,-162,736,2019-05-04,1.2241847826086956
York,96,843,211,210,269,765,910,-145,690,2016-04-30,1.2217391304347827
Cambridge,84,1291,338,277,443,1305,1490,-185,1058,2025-09-20,1.220226843100189
AFC Wimbledon,99,780,196,192,254,746,851,-105,642,2025-09-13,1.2149532710280373
Harrogate,111,289,76,61,102,288,346,-58,239,2025-09-20,1.209205020920502
Grimsby,83,1388,357,317,476,1292,1598,-306,1150,2025-09-13,1.2069565217391305
Hereford,103,545,143,116,193,533,627,-94,452,2012-05-05,1.2057522123893805
Barnet,89,1052,270,242,367,1048,1248,-200,879,2025-09-20,1.1968145620022752
Kidderminster,113,275,72,59,99,249,315,-66,230,2005-04-30,1.1956521739130435
Dag and Red,104,490,131,97,186,509,584,-75,414,2016-04-30,1.183574879227053
Morecambe,91,969,249,222,348,994,1217,-223,819,2025-05-03,1.1831501831501832
Macclesfield,94,910,229,223,321,869,1068,-199,773,2020-02-29,1.1772315653298835
Chester,101,643,162,157,229,624,757,-133,548,2009-05-02,1.1733576642335766
Scarborough,107,310,80,70,118,326,403,-77,268,1999-05-08,1.1567164179104477
Halifax,114,203,52,47,85,195,266,-71,184,2002-04-20,1.1032608695652173
