Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,Season,Division
05/08/2023,Accrington,Newport County,3,0,H,2324,E3
05/08/2023,Crawley Town,Bradford,1,0,H,2324,E3
05/08/2023,Crewe,Mansfield,2,2,D,2324,E3
05/08/2023,Doncaster,Harrogate,0,1,A,2324,E3
05/08/2023,Forest Green,Salford,0,2,A,2324,E3
05/08/2023,Grimsby,AFC Wimbledon,0,0,D,2324,E3
05/08/2023,Morecambe,Walsall,2,1,H,2324,E3
05/08/2023,Stockport,Gillingham,0,1,A,2324,E3
05/08/2023,Sutton,Notts County,5,1,H,2324,E3
05/08/2023,Tranmere,Barrow,1,2,A,2324,E3
05/08/2023,Wrexham,Milton Keynes Dons,3,5,A,2324,E3
12/08/2023,AFC Wimbledon,Wrexham,1,1,D,2324,E3
12/08/2023,Barrow,Sutton,2,1,H,2324,E3
12/08/2023,Bradford,Colchester,2,1,H,2324,E3
12/08/2023,Gillingham,Accrington,1,0,H,2324,E3
12/08/2023,Harrogate,Forest Green,0,1,A,2324,E3
12/08/2023,Mansfield,Morecambe,3,0,H,2324,E3
12/08/2023,Milton Keynes Dons,Tranmere,1,0,H,2324,E3
12/08/2023,Newport County,Doncaster,4,0,H,2324,E3
12/08/2023,Notts County,Grimsby,3,2,H,2324,E3
12/08/2023,Salford,Crawley Town,1,1,D,2324,E3
12/08/2023,Swindon,Crewe,2,2,D,2324,E3
12/08/2023,Walsall,Stockport,2,1,H,2324,E3
15/08/2023,Accrington,Barrow,1,1,D,2324,E3
15/08/2023,Colchester,AFC Wimbledon,0,2,A,2324,E3
15/08/2023,Crawley Town,Milton Keynes Dons,2,1,H,2324,E3
15/08/2023,Crewe,Newport County,4,2,H,2324,E3
15/08/2023,Doncaster,Mansfield,2,2,D,2324,E3
15/08/2023,Forest Green,Swindon,1,2,A,2324,E3
15/08/2023,Grimsby,Salford,2,0,H,2324,E3
15/08/2023,Morecambe,Notts County,0,0,D,2324,E3
15/08/2023,Stockport,Bradford,1,1,D,2324,E3
15/08/2023,Sutton,Gillingham,0,1,A,2324,E3
15/08/2023,Tranmere,Harrogate,3,0,H,2324,E3
15/08/2023,Wrexham,Walsall,4,2,H,2324,E3
19/08/2023,Accrington,Harrogate,2,1,H,2324,E3
19/08/2023,Colchester,Milton Keynes Dons,2,3,A,2324,E3
19/08/2023,Crawley Town,Gillingham,0,1,A,2324,E3
19/08/2023,Crewe,Walsall,2,2,D,2324,E3
19/08/2023,Doncaster,Notts County,1,3,A,2324,E3
19/08/2023,Forest Green,Newport County,0,3,A,2324,E3
19/08/2023,Grimsby,Mansfield,1,1,D,2324,E3
19/08/2023,Morecambe,Bradford,3,0,H,2324,E3
19/08/2023,Stockport,Barrow,1,0,H,2324,E3
19/08/2023,Sutton,AFC Wimbledon,0,3,A,2324,E3
19/08/2023,Tranmere,Salford,3,4,A,2324,E3
19/08/2023,Wrexham,Swindon,5,5,D,2324,E3
26/08/2023,AFC Wimbledon,Forest Green,1,1,D,2324,E3
26/08/2023,Barrow,Wrexham,1,1,D,2324,E3
26/08/2023,Bradford,Crewe,1,0,H,2324,E3
26/08/2023,Gillingham,Colchester,0,3,A,2324,E3
26/08/2023,Harrogate,Morecambe,2,0,H,2324,E3
26/08/2023,Mansfield,Stockport,3,2,H,2324,E3
26/08/2023,Milton Keynes Dons,Doncaster,2,1,H,2324,E3
26/08/2023,Newport County,Sutton,3,1,H,2324,E3
26/08/2023,Notts County,Tranmere,2,1,H,2324,E3
26/08/2023,Salford,Accrington,1,2,A,2324,E3
26/08/2023,Swindon,Crawley Town,6,0,H,2324,E3
26/08/2023,Walsall,Grimsby,1,1,D,2324,E3
02/09/2023,Tranmere,Wrexham,0,1,A,2324,E3
02/09/2023,Crewe,Milton Keynes Dons,3,1,H,2324,E3
02/09/2023,Doncaster,Swindon,0,0,D,2324,E3
02/09/2023,Grimsby,Gillingham,2,0,H,2324,E3
02/09/2023,Harrogate,Barrow,0,1,A,2324,E3
02/09/2023,Mansfield,Bradford,0,0,D,2324,E3
02/09/2023,Morecambe,Salford,1,0,H,2324,E3
02/09/2023,Newport County,AFC Wimbledon,2,2,D,2324,E3
02/09/2023,Notts County,Accrington,3,1,H,2324,E3
02/09/2023,Stockport,Crawley Town,3,3,D,2324,E3
02/09/2023,Sutton,Forest Green,0,1,A,2324,E3
02/09/2023,Walsall,Colchester,1,0,H,2324,E3
09/09/2023,Bradford,Grimsby,1,1,D,2324,E3
09/09/2023,Accrington,Mansfield,0,3,A,2324,E3
