Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,Season,Division
09/08/14,Accrington,Southend,0,1,A,1415,E3
09/08/14,AFC Wimbledon,Shrewsbury,2,2,D,1415,E3
09/08/14,Bury,Cheltenham,0,1,A,1415,E3
09/08/14,Cambridge,Plymouth,1,0,H,1415,E3
09/08/14,Carlisle,Luton,0,1,A,1415,E3
09/08/14,Dag and Red,Morecambe,0,3,A,1415,E3
09/08/14,Exeter,Portsmouth,1,1,D,1415,E3
09/08/14,Newport County,Wycombe,0,2,A,1415,E3
09/08/14,Northampton,Mansfield,1,0,H,1415,E3
09/08/14,Oxford,Burton,0,1,A,1415,E3
09/08/14,Stevenage,Hartlepool,1,0,H,1415,E3
09/08/14,Tranmere,York,1,1,D,1415,E3
16/08/14,Burton,Dag and Red,2,1,H,1415,E3
16/08/14,Cheltenham,Accrington,2,1,H,1415,E3
16/08/14,Hartlepool,Bury,0,2,A,1415,E3
16/08/14,Luton,AFC Wimbledon,0,1,A,1415,E3
16/08/14,Mansfield,Oxford,2,1,H,1415,E3
16/08/14,Morecambe,Newport County,3,2,H,1415,E3
16/08/14,Plymouth,Exeter,3,0,H,1415,E3
16/08/14,Portsmouth,Cambridge,2,1,H,1415,E3
16/08/14,Shrewsbury,Tranmere,2,1,H,1415,E3
16/08/14,Southend,Stevenage,2,0,H,1415,E3
16/08/14,Wycombe,Carlisle,3,1,H,1415,E3
16/08/14,York,Northampton,1,1,D,1415,E3
19/08/14,Burton,Exeter,1,0,H,1415,E3
19/08/14,Cheltenham,Carlisle,0,0,D,1415,E3
19/08/14,Hartlepool,Dag and Red,0,2,A,1415,E3
19/08/14,Luton,Bury,1,1,D,1415,E3
19/08/14,Mansfield,Newport County,1,0,H,1415,E3
19/08/14,Morecambe,Oxford,1,0,H,1415,E3
19/08/14,Plymouth,Stevenage,1,1,D,1415,E3
19/08/14,Portsmouth,Northampton,2,0,H,1415,E3
19/08/14,Shrewsbury,Accrington,4,0,H,1415,E3
19/08/14,Southend,AFC Wimbledon,0,1,A,1415,E3
19/08/14,Wycombe,Tranmere,0,2,A,1415,E3
19/08/14,York,Cambridge,2,2,D,1415,E3
23/08/14,Accrington,Luton,2,2,D,1415,E3
23/08/14,AFC Wimbledon,Hartlepool,1,2,A,1415,E3
23/08/14,Bury,Plymouth,2,1,H,1415,E3
23/08/14,Cambridge,Morecambe,1,2,A,1415,E3
23/08/14,Carlisle,Southend,1,1,D,1415,E3
23/08/14,Dag and Red,Mansfield,2,0,H,1415,E3
23/08/14,Exeter,York,1,1,D,1415,E3
23/08/14,Newport County,Burton,1,1,D,1415,E3
23/08/14,Northampton,Shrewsbury,1,1,D,1415,E3
23/08/14,Oxford,Portsmouth,0,1,A,1415,E3
