Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,Season,Division
05/08/2017,Accrington,Colchester,3,1,H,1718,E3
05/08/2017,Carlisle,Swindon,1,2,A,1718,E3
05/08/2017,Chesterfield,Grimsby,1,3,A,1718,E3
05/08/2017,Coventry,Notts County,3,0,H,1718,E3
05/08/2017,Crawley Town,Port Vale,1,3,A,1718,E3
05/08/2017,Crewe,Mansfield,2,2,D,1718,E3
05/08/2017,Exeter,Cambridge,1,0,H,1718,E3
05/08/2017,Forest Green,Barnet,2,2,D,1718,E3
05/08/2017,Luton,Yeovil,8,2,H,1718,E3
05/08/2017,Morecambe,Cheltenham,2,1,H,1718,E3
05/08/2017,Stevenage,Newport County,3,3,D,1718,E3
05/08/2017,Wycombe,Lincoln,2,2,D,1718,E3
12/08/2017,Barnet,Luton,1,0,H,1718,E3
12/08/2017,Cambridge,Carlisle,1,2,A,1718,E3
12/08/2017,Cheltenham,Crawley Town,1,0,H,1718,E3
12/08/2017,Colchester,Stevenage,1,1,D,1718,E3
12/08/2017,Crewe,Newport County,1,1,D,1718,E3
12/08/2017,Grimsby,Coventry,0,2,A,1718,E3
12/08/2017,Lincoln,Morecambe,1,1,D,1718,E3
12/08/2017,Mansfield,Forest Green,2,0,H,1718,E3
12/08/2017,Notts County,Chesterfield,2,0,H,1718,E3
12/08/2017,Port Vale,Wycombe,2,3,A,1718,E3
12/08/2017,Swindon,Exeter,1,1,D,1718,E3
12/08/2017,Yeovil,Accrington,3,2,H,1718,E3
19/08/2017,Accrington,Mansfield,2,1,H,1718,E3
19/08/2017,Carlisle,Cheltenham,3,0,H,1718,E3
19/08/2017,Chesterfield,Port Vale,2,0,H,1718,E3
19/08/2017,Coventry,Newport County,0,1,A,1718,E3
19/08/2017,Crawley Town,Cambridge,0,1,A,1718,E3
19/08/2017,Crewe,Barnet,1,0,H,1718,E3
19/08/2017,Exeter,Lincoln,1,0,H,1718,E3
19/08/2017,Forest Green,Yeovil,4,3,H,1718,E3
19/08/2017,Luton,Colchester,3,0,H,1718,E3
19/08/2017,Morecambe,Swindon,0,1,A,1718,E3
