Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,Season,Division
07/08/2021,Carlisle,Colchester,0,0,D,2122,E3
07/08/2021,Exeter,Bradford,0,0,D,2122,E3
07/08/2021,Forest Green,Sutton,2,1,H,2122,E3
07/08/2021,Harrogate,Rochdale,3,2,H,2122,E3
07/08/2021,Hartlepool,Crawley Town,1,0,H,2122,E3
07/08/2021,Mansfield,Bristol Rvs,2,1,H,2122,E3
07/08/2021,Northampton,Port Vale,1,0,H,2122,E3
07/08/2021,Oldham,Newport County,0,1,A,2122,E3
07/08/2021,Salford,Leyton Orient,1,1,D,2122,E3
07/08/2021,Scunthorpe,Swindon,1,3,A,2122,E3
07/08/2021,Stevenage,Barrow,1,0,H,2122,E3
07/08/2021,Tranmere,Walsall,1,0,H,2122,E3
14/08/2021,Barrow,Hartlepool,3,2,H,2122,E3
14/08/2021,Bradford,Oldham,2,1,H,2122,E3
14/08/2021,Bristol Rvs,Stevenage,0,2,A,2122,E3
14/08/2021,Colchester,Northampton,0,1,A,2122,E3
14/08/2021,Leyton Orient,Exeter,3,0,H,2122,E3
14/08/2021,Mansfield,Newport County,2,1,H,2122,E3
14/08/2021,Port Vale,Tranmere,0,0,D,2122,E3
14/08/2021,Rochdale,Scunthorpe,0,0,D,2122,E3
14/08/2021,Salford,Sutton,0,0,D,2122,E3
14/08/2021,Swindon,Carlisle,1,2,A,2122,E3
14/08/2021,Walsall,Forest Green,1,3,A,2122,E3
17/08/2021,Barrow,Exeter,0,0,D,2122,E3
17/08/2021,Bradford,Stevenage,4,1,H,2122,E3
17/08/2021,Bristol Rvs,Oldham,1,0,H,2122,E3
17/08/2021,Colchester,Mansfield,1,1,D,2122,E3
17/08/2021,Crawley Town,Salford,2,1,H,2122,E3
17/08/2021,Port Vale,Carlisle,0,0,D,2122,E3
17/08/2021,Rochdale,Forest Green,1,2,A,2122,E3
17/08/2021,Swindon,Tranmere,0,0,D,2122,E3
17/08/2021,Walsall,Scunthorpe,1,1,D,2122,E3
21/08/2021,Carlisle,Leyton Orient,1,1,D,2122,E3
21/08/2021,Exeter,Bristol Rvs,4,1,H,2122,E3
21/08/2021,Forest Green,Crawley Town,6,3,H,2122,E3
21/08/2021,Harrogate,Barrow,2,1,H,2122,E3
21/08/2021,Hartlepool,Walsall,2,0,H,2122,E3
21/08/2021,Mansfield,Bradford,2,3,A,2122,E3
21/08/2021,Northampton,Rochdale,1,3,A,2122,E3
21/08/2021,Oldham,Colchester,1,2,A,2122,E3
21/08/2021,Salford,Swindon,0,1,A,2122,E3
21/08/2021,Scunthorpe,Sutton,1,1,D,2122,E3
