Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,Season,Division
03/08/2019,Salford,Stevenage,2,0,H,1920,E3
03/08/2019,Bradford,Cambridge,0,0,D,1920,E3
03/08/2019,Carlisle,Crawley Town,2,1,H,1920,E3
03/08/2019,Colchester,Port Vale,1,1,D,1920,E3
03/08/2019,Crewe,Plymouth,0,3,A,1920,E3
03/08/2019,Exeter,Macclesfield,1,0,H,1920,E3
03/08/2019,Forest Green,Oldham,1,0,H,1920,E3
03/08/2019,Leyton Orient,Cheltenham,1,0,H,1920,E3
03/08/2019,Morecambe,Grimsby,0,2,A,1920,E3
03/08/2019,Newport County,Mansfield,2,2,D,1920,E3
03/08/2019,Northampton,Walsall,0,1,A,1920,E3
03/08/2019,Scunthorpe,Swindon,0,2,A,1920,E3
10/08/2019,Grimsby,Bradford,1,1,D,1920,E3
10/08/2019,Cambridge,Newport County,0,0,D,1920,E3
10/08/2019,Cheltenham,Scunthorpe,4,1,H,1920,E3
10/08/2019,Crawley Town,Salford,2,0,H,1920,E3
10/08/2019,Macclesfield,Leyton Orient,3,0,H,1920,E3
10/08/2019,Mansfield,Morecambe,2,2,D,1920,E3
10/08/2019,Oldham,Crewe,1,2,A,1920,E3
10/08/2019,Plymouth,Colchester,1,0,H,1920,E3
10/08/2019,Port Vale,Northampton,1,1,D,1920,E3
10/08/2019,Stevenage,Exeter,0,1,A,1920,E3
10/08/2019,Swindon,Carlisle,3,2,H,1920,E3
10/08/2019,Walsall,Forest Green,1,1,D,1920,E3
17/08/2019,Bradford,Oldham,3,0,H,1920,E3
17/08/2019,Carlisle,Mansfield,0,2,A,1920,E3
17/08/2019,Colchester,Cambridge,1,2,A,1920,E3
17/08/2019,Crewe,Walsall,1,0,H,1920,E3
17/08/2019,Exeter,Swindon,1,1,D,1920,E3
17/08/2019,Forest Green,Grimsby,1,0,H,1920,E3
17/08/2019,Leyton Orient,Stevenage,0,0,D,1920,E3
17/08/2019,Morecambe,Cheltenham,0,0,D,1920,E3
17/08/2019,Newport County,Plymouth,1,0,H,1920,E3
17/08/2019,Northampton,Macclesfield,1,2,A,1920,E3
17/08/2019,Salford,Port Vale,1,1,D,1920,E3
17/08/2019,Scunthorpe,Crawley Town,2,2,D,1920,E3
20/08/2019,Cambridge,Scunthorpe,3,2,H,1920,E3
20/08/2019,Cheltenham,Carlisle,2,0,H,1920,E3
20/08/2019,Crawley Town,Crewe,1,2,A,1920,E3
20/08/2019,Grimsby,Colchester,2,2,D,1920,E3
20/08/2019,Macclesfield,Morecambe,0,1,A,1920,E3
20/08/2019,Mansfield,Leyton Orient,2,3,A,1920,E3
20/08/2019,Oldham,Exeter,0,0,D,1920,E3
20/08/2019,Plymouth,Salford,2,2,D,1920,E3
20/08/2019,Port Vale,Forest Green,2,1,H,1920,E3
20/08/2019,Stevenage,Bradford,0,1,A,1920,E3
20/08/2019,Swindon,Northampton,0,1,A,1920,E3
20/08/2019,Walsall,Newport County,0,0,D,1920,E3
24/08/2019,Bradford,Forest Green,0,1,A,1920,E3
24/08/2019,Cambridge,Oldham,1,2,A,1920,E3
24/08/2019,Carlisle,Salford,2,2,D,1920,E3
24/08/2019,Cheltenham,Swindon,2,2,D,1920,E3
24/08/2019,Colchester,Northampton,1,0,H,1920,E3
24/08/2019,Grimsby,Port Vale,5,2,H,1920,E3
24/08/2019,Leyton Orient,Crawley Town,2,3,A,1920,E3
24/08/2019,Macclesfield,Scunthorpe,1,0,H,1920,E3
24/08/2019,Mansfield,Stevenage,0,0,D,1920,E3
24/08/2019,Morecambe,Exeter,2,3,A,1920,E3
24/08/2019,Newport County,Crewe,1,0,H,1920,E3
24/08/2019,Plymouth,Walsall,3,0,H,1920,E3
31/08/2019,Crawley Town,Cheltenham,1,0,H,1920,E3
31/08/2019,Crewe,Bradford,2,1,H,1920,E3
31/08/2019,Exeter,Mansfield,1,0,H,1920,E3
31/08/2019,Forest Green,Newport County,0,2,A,1920,E3
31/08/2019,Northampton,Plymouth,3,1,H,1920,E3
31/08/2019,Oldham,Colchester,0,1,A,1920,E3
31/08/2019,Port Vale,Cambridge,1,0,H,1920,E3
31/08/2019,Salford,Leyton Orient,1,1,D,1920,E3
31/08/2019,Scunthorpe,Carlisle,0,1,A,1920,E3
31/08/2019,Stevenage,Macclesfield,2,2,D,1920,E3
31/08/2019,Swindon,Morecambe,3,1,H,1920,E3
31/08/2019,Walsall,Grimsby,1,3,A,1920,E3
07/09/2019,Bradford,Northampton,2,1,H,1920,E3
07/09/2019,Cambridge,Forest Green,0,1,A,1920,E3
07/09/2019,Carlisle,Exeter,1,3,A,1920,E3
07/09/2019,Cheltenham,Stevenage,4,2,H,1920,E3
07/09/2019,Colchester,Walsall,0,0,D,1920,E3
07/09/2019,Grimsby,Crewe,0,2,A,1920,E3
07/09/2019,Leyton Orient,Swindon,1,3,A,1920,E3
07/09/2019,Macclesfield,Crawley Town,1,1,D,1920,E3
07/09/2019,Mansfield,Scunthorpe,2,0,H,1920,E3
