Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,Season,Division
12/09/2020,Barrow,Stevenage,1,1,D,2021,E3
12/09/2020,Bolton,Forest Green,0,1,A,2021,E3
12/09/2020,Bradford,Colchester,0,0,D,2021,E3
12/09/2020,Cambridge,Carlisle,3,0,H,2021,E3
12/09/2020,Cheltenham,Morecambe,1,2,A,2021,E3
12/09/2020,Mansfield,Tranmere,0,0,D,2021,E3
12/09/2020,Oldham,Leyton Orient,0,1,A,2021,E3
12/09/2020,Port Vale,Crawley Town,2,0,H,2021,E3
12/09/2020,Salford,Exeter,2,2,D,2021,E3
12/09/2020,Scunthorpe,Newport County,1,1,D,2021,E3
12/09/2020,Southend,Harrogate,0,4,A,2021,E3
12/09/2020,Walsall,Grimsby,1,0,H,2021,E3
19/09/2020,Carlisle,Southend,2,0,H,2021,E3
19/09/2020,Colchester,Bolton,2,0,H,2021,E3
19/09/2020,Crawley Town,Scunthorpe,1,0,H,2021,E3
19/09/2020,Exeter,Port Vale,0,2,A,2021,E3
19/09/2020,Forest Green,Bradford,2,2,D,2021,E3
19/09/2020,Grimsby,Salford,0,4,A,2021,E3
19/09/2020,Harrogate,Walsall,2,2,D,2021,E3
19/09/2020,Leyton Orient,Mansfield,2,2,D,2021,E3
19/09/2020,Morecambe,Cambridge,0,5,A,2021,E3
19/09/2020,Newport County,Barrow,2,1,H,2021,E3
19/09/2020,Stevenage,Oldham,3,0,H,2021,E3
19/09/2020,Tranmere,Cheltenham,0,3,A,2021,E3
26/09/2020,Barrow,Colchester,1,1,D,2021,E3
26/09/2020,Bolton,Newport County,0,2,A,2021,E3
26/09/2020,Bradford,Stevenage,2,1,H,2021,E3
26/09/2020,Cambridge,Tranmere,0,0,D,2021,E3
26/09/2020,Mansfield,Exeter,1,2,A,2021,E3
26/09/2020,Oldham,Crawley Town,2,3,A,2021,E3
26/09/2020,Port Vale,Harrogate,0,0,D,2021,E3
26/09/2020,Salford,Forest Green,0,0,D,2021,E3
26/09/2020,Scunthorpe,Carlisle,1,0,H,2021,E3
26/09/2020,Southend,Morecambe,1,2,A,2021,E3
03/10/2020,Carlisle,Barrow,1,0,H,2021,E3
03/10/2020,Colchester,Oldham,3,3,D,2021,E3
03/10/2020,Crawley Town,Southend,1,1,D,2021,E3
03/10/2020,Exeter,Cambridge,2,0,H,2021,E3
