Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,Season,Division
03/08/2018,Reading,Derby,1,2,A,1819,E1
04/08/2018,Birmingham,Norwich,2,2,D,1819,E1
04/08/2018,Brentford,Rotherham,5,1,H,1819,E1
04/08/2018,Bristol City,Nott'm Forest,1,1,D,1819,E1
04/08/2018,Ipswich,Blackburn,2,2,D,1819,E1
04/08/2018,Millwall,Middlesbrough,2,2,D,1819,E1
04/08/2018,Preston,QPR,1,0,H,1819,E1
04/08/2018,Sheffield United,Swansea,1,2,A,1819,E1
04/08/2018,West Brom,Bolton,1,2,A,1819,E1
04/08/2018,Wigan,Sheffield Weds,3,2,H,1819,E1
05/08/2018,Leeds,Stoke,3,1,H,1819,E1
06/08/2018,Hull,Aston Villa,1,3,A,1819,E1
07/08/2018,Middlesbrough,Sheffield United,3,0,H,1819,E1
07/08/2018,Nott'm Forest,West Brom,1,1,D,1819,E1
11/08/2018,Aston Villa,Wigan,3,2,H,1819,E1
11/08/2018,Blackburn,Millwall,0,0,D,1819,E1
11/08/2018,Bolton,Bristol City,2,2,D,1819,E1
11/08/2018,Derby,Leeds,1,4,A,1819,E1
11/08/2018,Middlesbrough,Birmingham,1,0,H,1819,E1
11/08/2018,Norwich,West Brom,3,4,A,1819,E1
11/08/2018,Nott'm Forest,Reading,1,0,H,1819,E1
11/08/2018,QPR,Sheffield United,1,2,A,1819,E1
11/08/2018,Rotherham,Ipswich,1,0,H,1819,E1
11/08/2018,Sheffield Weds,Hull,1,1,D,1819,E1
11/08/2018,Stoke,Brentford,1,1,D,1819,E1
11/08/2018,Swansea,Preston,1,0,H,1819,E1
17/08/2018,Birmingham,Swansea,0,0,D,1819,E1
18/08/2018,Bristol City,Middlesbrough,0,2,A,1819,E1
18/08/2018,Hull,Blackburn,0,1,A,1819,E1
18/08/2018,Ipswich,Aston Villa,1,1,D,1819,E1
18/08/2018,Leeds,Rotherham,2,0,H,1819,E1
18/08/2018,Millwall,Derby,2,1,H,1819,E1
18/08/2018,Preston,Stoke,2,2,D,1819,E1
18/08/2018,Reading,Bolton,0,1,A,1819,E1
18/08/2018,Sheffield United,Norwich,2,1,H,1819,E1
18/08/2018,West Brom,QPR,7,1,H,1819,E1
18/08/2018,Wigan,Nott'm Forest,2,2,D,1819,E1
19/08/2018,Brentford,Sheffield Weds,2,0,H,1819,E1
21/08/2018,Derby,Ipswich,2,0,H,1819,E1
21/08/2018,QPR,Bristol City,0,3,A,1819,E1
21/08/2018,Rotherham,Hull,2,3,A,1819,E1
21/08/2018,Swansea,Leeds,2,2,D,1819,E1
22/08/2018,Aston Villa,Brentford,2,2,D,1819,E1
22/08/2018,Blackburn,Reading,2,2,D,1819,E1
22/08/2018,Bolton,Birmingham,1,0,H,1819,E1
22/08/2018,Norwich,Preston,2,0,H,1819,E1
22/08/2018,Sheffield Weds,Millwall,2,1,H,1819,E1
22/08/2018,Stoke,Wigan,0,3,A,1819,E1
24/08/2018,Middlesbrough,West Brom,1,0,H,1819,E1
25/08/2018,Aston Villa,Reading,1,1,D,1819,E1
25/08/2018,Blackburn,Brentford,1,0,H,1819,E1
25/08/2018,Bolton,Sheffield United,0,3,A,1819,E1
