Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,Season,Division
05/08/16,Fulham,Newcastle,1,0,H,1617,E1
06/08/16,Birmingham,Cardiff,0,0,D,1617,E1
06/08/16,Blackburn,Norwich,1,4,A,1617,E1
06/08/16,Bristol City,Wigan,2,1,H,1617,E1
06/08/16,Derby,Brighton,0,0,D,1617,E1
06/08/16,Huddersfield,Brentford,2,1,H,1617,E1
06/08/16,Ipswich,Barnsley,4,2,H,1617,E1
06/08/16,Nott'm Forest,Burton,4,3,H,1617,E1
06/08/16,Reading,Preston,1,0,H,1617,E1
06/08/16,Rotherham,Wolves,2,2,D,1617,E1
07/08/16,QPR,Leeds,3,0,H,1617,E1
07/08/16,Sheffield Weds,Aston Villa,1,0,H,1617,E1
12/08/16,Brighton,Nott'm Forest,3,0,H,1617,E1
13/08/16,Aston Villa,Rotherham,3,0,H,1617,E1
13/08/16,Barnsley,Derby,2,0,H,1617,E1
13/08/16,Brentford,Ipswich,2,0,H,1617,E1
13/08/16,Burton,Bristol City,1,2,A,1617,E1
13/08/16,Leeds,Birmingham,1,2,A,1617,E1
13/08/16,Newcastle,Huddersfield,1,2,A,1617,E1
13/08/16,Norwich,Sheffield Weds,0,0,D,1617,E1
13/08/16,Preston,Fulham,1,2,A,1617,E1
13/08/16,Wigan,Blackburn,3,0,H,1617,E1
13/08/16,Wolves,Reading,2,0,H,1617,E1
14/08/16,Cardiff,QPR,0,2,A,1617,E1
16/08/16,Aston Villa,Huddersfield,1,1,D,1617,E1
16/08/16,Brentford,Nott'm Forest,1,0,H,1617,E1
16/08/16,Brighton,Rotherham,3,0,H,1617,E1
16/08/16,Burton,Sheffield Weds,3,1,H,1617,E1
16/08/16,Leeds,Fulham,1,1,D,1617,E1
16/08/16,Norwich,Bristol City,1,0,H,1617,E1
16/08/16,Preston,Derby,0,1,A,1617,E1
16/08/16,Wigan,Birmingham,1,1,D,1617,E1
16/08/16,Wolves,Ipswich,0,0,D,1617,E1
17/08/16,Barnsley,QPR,3,2,H,1617,E1
17/08/16,Cardiff,Blackburn,2,1,H,1617,E1
17/08/16,Newcastle,Reading,4,1,H,1617,E1
20/08/16,Birmingham,Wolves,1,3,A,1617,E1
20/08/16,Blackburn,Burton,2,2,D,1617,E1
20/08/16,Bristol City,Newcastle,0,1,A,1617,E1
20/08/16,Derby,Aston Villa,0,0,D,1617,E1
20/08/16,Fulham,Cardiff,2,2,D,1617,E1
20/08/16,Huddersfield,Barnsley,2,1,H,1617,E1
20/08/16,Nott'm Forest,Wigan,4,3,H,1617,E1
20/08/16,QPR,Preston,0,2,A,1617,E1
20/08/16,Reading,Brighton,2,2,D,1617,E1
20/08/16,Rotherham,Brentford,1,0,H,1617,E1
20/08/16,Sheffield Weds,Leeds,0,2,A,1617,E1
21/08/16,Ipswich,Norwich,1,1,D,1617,E1
26/08/16,Burton,Derby,1,0,H,1617,E1
27/08/16,Barnsley,Rotherham,4,0,H,1617,E1
27/08/16,Birmingham,Norwich,3,0,H,1617,E1
27/08/16,Blackburn,Fulham,0,1,A,1617,E1
27/08/16,Brentford,Sheffield Weds,1,1,D,1617,E1
27/08/16,Bristol City,Aston Villa,3,1,H,1617,E1
27/08/16,Cardiff,Reading,0,1,A,1617,E1
27/08/16,Huddersfield,Wolves,1,0,H,1617,E1
27/08/16,Ipswich,Preston,1,0,H,1617,E1
27/08/16,Newcastle,Brighton,2,0,H,1617,E1
27/08/16,Nott'm Forest,Leeds,3,1,H,1617,E1
27/08/16,Wigan,QPR,0,1,A,1617,E1
09/09/16,Reading,Ipswich,2,1,H,1617,E1
10/09/16,Brighton,Brentford,0,2,A,1617,E1
10/09/16,Derby,Newcastle,0,2,A,1617,E1
10/09/16,Fulham,Birmingham,0,1,A,1617,E1
10/09/16,Leeds,Huddersfield,0,1,A,1617,E1
10/09/16,Norwich,Cardiff,3,2,H,1617,E1
10/09/16,Preston,Barnsley,1,2,A,1617,E1
10/09/16,QPR,Blackburn,1,1,D,1617,E1
10/09/16,Rotherham,Bristol City,2,2,D,1617,E1
10/09/16,Sheffield Weds,Wigan,2,1,H,1617,E1
10/09/16,Wolves,Burton,1,1,D,1617,E1
11/09/16,Aston Villa,Nott'm Forest,2,2,D,1617,E1
13/09/16,Brighton,Huddersfield,1,0,H,1617,E1
13/09/16,Derby,Ipswich,0,1,A,1617,E1
13/09/16,Fulham,Burton,1,1,D,1617,E1
13/09/16,Leeds,Blackburn,2,1,H,1617,E1
13/09/16,Norwich,Wigan,2,1,H,1617,E1
13/09/16,Preston,Cardiff,3,0,H,1617,E1
13/09/16,QPR,Newcastle,0,6,A,1617,E1
13/09/16,Reading,Birmingham,0,0,D,1617,E1
13/09/16,Sheffield Weds,Bristol City,3,2,H,1617,E1
13/09/16,Wolves,Barnsley,0,4,A,1617,E1
14/09/16,Aston Villa,Brentford,1,1,D,1617,E1
14/09/16,Rotherham,Nott'm Forest,2,2,D,1617,E1
17/09/16,Barnsley,Reading,1,2,A,1617,E1
17/09/16,Birmingham,Sheffield Weds,2,1,H,1617,E1
17/09/16,Blackburn,Rotherham,4,2,H,1617,E1
17/09/16,Brentford,Preston,5,0,H,1617,E1
17/09/16,Bristol City,Derby,1,1,D,1617,E1
17/09/16,Burton,Brighton,0,1,A,1617,E1
17/09/16,Cardiff,Leeds,0,2,A,1617,E1
17/09/16,Huddersfield,QPR,2,1,H,1617,E1
17/09/16,Ipswich,Aston Villa,0,0,D,1617,E1
17/09/16,Newcastle,Wolves,0,2,A,1617,E1
17/09/16,Nott'm Forest,Norwich,1,2,A,1617,E1
17/09/16,Wigan,Fulham,0,0,D,1617,E1
23/09/16,Preston,Wigan,1,0,H,1617,E1
24/09/16,Aston Villa,Newcastle,1,1,D,1617,E1
24/09/16,Brighton,Barnsley,2,0,H,1617,E1
24/09/16,Derby,Blackburn,1,2,A,1617,E1
24/09/16,Fulham,Bristol City,0,4,A,1617,E1
24/09/16,Leeds,Ipswich,1,0,H,1617,E1
24/09/16,Norwich,Burton,3,1,H,1617,E1
24/09/16,QPR,Birmingham,1,1,D,1617,E1
24/09/16,Reading,Huddersfield,1,0,H,1617,E1
24/09/16,Rotherham,Cardiff,1,2,A,1617,E1
24/09/16,Sheffield Weds,Nott'm Forest,2,1,H,1617,E1
24/09/16,Wolves,Brentford,3,1,H,1617,E1
27/09/16,Barnsley,Aston Villa,1,1,D,1617,E1
27/09/16,Birmingham,Preston,2,2,D,1617,E1
27/09/16,Blackburn,Sheffield Weds,0,1,A,1617,E1
27/09/16,Brentford,Reading,4,1,H,1617,E1
27/09/16,Bristol City,Leeds,1,0,H,1617,E1
27/09/16,Burton,QPR,1,1,D,1617,E1
27/09/16,Cardiff,Derby,0,2,A,1617,E1
27/09/16,Huddersfield,Rotherham,2,1,H,1617,E1
27/09/16,Ipswich,Brighton,0,0,D,1617,E1
27/09/16,Nott'm Forest,Fulham,1,1,D,1617,E1
27/09/16,Wigan,Wolves,2,1,H,1617,E1
28/09/16,Newcastle,Norwich,4,3,H,1617,E1
01/10/16,Birmingham,Blackburn,1,0,H,1617,E1
01/10/16,Brentford,Wigan,0,0,D,1617,E1
01/10/16,Bristol City,Nott'm Forest,2,1,H,1617,E1
01/10/16,Burton,Cardiff,2,0,H,1617,E1
01/10/16,Fulham,QPR,1,2,A,1617,E1
01/10/16,Ipswich,Huddersfield,0,1,A,1617,E1
01/10/16,Leeds,Barnsley,2,1,H,1617,E1
01/10/16,Preston,Aston Villa,2,0,H,1617,E1
01/10/16,Reading,Derby,1,1,D,1617,E1
01/10/16,Rotherham,Newcastle,0,1,A,1617,E1
01/10/16,Sheffield Weds,Brighton,1,2,A,1617,E1
01/10/16,Wolves,Norwich,1,2,A,1617,E1
14/10/16,Cardiff,Bristol City,2,1,H,1617,E1
14/10/16,Nott'm Forest,Birmingham,3,1,H,1617,E1
15/10/16,Aston Villa,Wolves,1,1,D,1617,E1
15/10/16,Barnsley,Fulham,2,4,A,1617,E1
15/10/16,Blackburn,Ipswich,0,0,D,1617,E1
15/10/16,Brighton,Preston,2,2,D,1617,E1
15/10/16,Derby,Leeds,1,0,H,1617,E1
15/10/16,Newcastle,Brentford,3,1,H,1617,E1
15/10/16,Norwich,Rotherham,3,1,H,1617,E1
15/10/16,QPR,Reading,1,1,D,1617,E1
15/10/16,Wigan,Burton,0,0,D,1617,E1
16/10/16,Huddersfield,Sheffield Weds,0,1,A,1617,E1
18/10/16,Barnsley,Newcastle,0,2,A,1617,E1
18/10/16,Birmingham,Rotherham,4,2,H,1617,E1
18/10/16,Blackburn,Nott'm Forest,2,1,H,1617,E1
18/10/16,Brighton,Wolves,1,0,H,1617,E1
18/10/16,Derby,Brentford,0,0,D,1617,E1
18/10/16,Fulham,Norwich,2,2,D,1617,E1
18/10/16,Ipswich,Burton,2,0,H,1617,E1
18/10/16,Leeds,Wigan,1,1,D,1617,E1
18/10/16,QPR,Bristol City,1,0,H,1617,E1
18/10/16,Reading,Aston Villa,1,2,A,1617,E1
19/10/16,Cardiff,Sheffield Weds,1,1,D,1617,E1
19/10/16,Preston,Huddersfield,3,1,H,1617,E1
21/10/16,Burton,Birmingham,2,0,H,1617,E1
22/10/16,Aston Villa,Fulham,1,0,H,1617,E1
22/10/16,Brentford,Barnsley,0,2,A,1617,E1
22/10/16,Bristol City,Blackburn,1,0,H,1617,E1
22/10/16,Huddersfield,Derby,1,0,H,1617,E1
22/10/16,Newcastle,Ipswich,3,0,H,1617,E1
22/10/16,Norwich,Preston,0,1,A,1617,E1
22/10/16,Nott'm Forest,Cardiff,1,2,A,1617,E1
22/10/16,Rotherham,Reading,0,1,A,1617,E1
22/10/16,Sheffield Weds,QPR,1,0,H,1617,E1
22/10/16,Wigan,Brighton,0,1,A,1617,E1
22/10/16,Wolves,Leeds,0,1,A,1617,E1
28/10/16,QPR,Brentford,0,2,A,1617,E1
29/10/16,Barnsley,Bristol City,2,2,D,1617,E1
29/10/16,Blackburn,Wolves,1,1,D,1617,E1
29/10/16,Brighton,Norwich,5,0,H,1617,E1
29/10/16,Cardiff,Wigan,0,1,A,1617,E1
29/10/16,Derby,Sheffield Weds,2,0,H,1617,E1
29/10/16,Fulham,Huddersfield,5,0,H,1617,E1
29/10/16,Ipswich,Rotherham,2,2,D,1617,E1
29/10/16,Leeds,Burton,2,0,H,1617,E1
29/10/16,Preston,Newcastle,1,2,A,1617,E1
29/10/16,Reading,Nott'm Forest,2,0,H,1617,E1
30/10/16,Birmingham,Aston Villa,1,1,D,1617,E1
04/11/16,Brentford,Fulham,0,2,A,1617,E1
05/11/16,Aston Villa,Blackburn,2,1,H,1617,E1
05/11/16,Bristol City,Brighton,0,2,A,1617,E1
05/11/16,Burton,Barnsley,0,0,D,1617,E1
05/11/16,Huddersfield,Birmingham,1,1,D,1617,E1
05/11/16,Newcastle,Cardiff,2,1,H,1617,E1
05/11/16,Norwich,Leeds,2,3,A,1617,E1
05/11/16,Nott'm Forest,QPR,1,1,D,1617,E1
05/11/16,Rotherham,Preston,1,3,A,1617,E1
05/11/16,Sheffield Weds,Ipswich,1,2,A,1617,E1
05/11/16,Wigan,Reading,0,3,A,1617,E1
05/11/16,Wolves,Derby,2,3,A,1617,E1
18/11/16,Brighton,Aston Villa,1,1,D,1617,E1
19/11/16,Barnsley,Wigan,0,0,D,1617,E1
19/11/16,Birmingham,Bristol City,1,0,H,1617,E1
19/11/16,Blackburn,Brentford,3,2,H,1617,E1
19/11/16,Cardiff,Huddersfield,3,2,H,1617,E1
19/11/16,Derby,Rotherham,3,0,H,1617,E1
19/11/16,Fulham,Sheffield Weds,1,1,D,1617,E1
19/11/16,Ipswich,Nott'm Forest,0,2,A,1617,E1
