Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,Season,Division
08/08/2025,Birmingham,Ipswich,1,1,D,2526,E1
09/08/2025,Charlton,Watford,1,0,H,2526,E1
09/08/2025,Coventry,Hull,0,0,D,2526,E1
09/08/2025,Southampton,Wrexham,2,1,H,2526,E1
09/08/2025,Middlesbrough,Swansea,1,0,H,2526,E1
09/08/2025,Norwich,Millwall,1,2,A,2526,E1
09/08/2025,Oxford,Portsmouth,0,1,A,2526,E1
09/08/2025,QPR,Preston,1,1,D,2526,E1
09/08/2025,Stoke,Derby,3,1,H,2526,E1
09/08/2025,West Brom,Blackburn,1,0,H,2526,E1
09/08/2025,Sheffield United,Bristol City,1,4,A,2526,E1
10/08/2025,Leicester,Sheffield Weds,2,1,H,2526,E1
16/08/2025,Derby,Coventry,3,5,A,2526,E1
16/08/2025,Portsmouth,Norwich,1,2,A,2526,E1
16/08/2025,Wrexham,West Brom,2,3,A,2526,E1
16/08/2025,Blackburn,Birmingham,1,2,A,2526,E1
16/08/2025,Bristol City,Charlton,0,0,D,2526,E1
16/08/2025,Millwall,Middlesbrough,0,3,A,2526,E1
16/08/2025,Preston,Leicester,2,1,H,2526,E1
16/08/2025,Sheffield Weds,Stoke,0,3,A,2526,E1
16/08/2025,Swansea,Sheffield United,1,0,H,2526,E1
16/08/2025,Watford,QPR,2,1,H,2526,E1
17/08/2025,Ipswich,Southampton,1,1,D,2526,E1
17/08/2025,Hull,Oxford,3,2,H,2526,E1
22/08/2025,Derby,Bristol City,1,1,D,2526,E1
23/08/2025,Charlton,Leicester,0,1,A,2526,E1
23/08/2025,Hull,Blackburn,0,3,A,2526,E1
23/08/2025,Swansea,Watford,1,1,D,2526,E1
23/08/2025,Birmingham,Oxford,1,0,H,2526,E1
23/08/2025,Coventry,QPR,7,1,H,2526,E1
23/08/2025,Norwich,Middlesbrough,1,2,A,2526,E1
23/08/2025,Preston,Ipswich,1,0,H,2526,E1
23/08/2025,Sheffield United,Millwall,0,1,A,2526,E1
23/08/2025,Southampton,Stoke,1,2,A,2526,E1
23/08/2025,West Brom,Portsmouth,1,1,D,2526,E1
23/08/2025,Wrexham,Sheffield Weds,2,2,D,2526,E1
29/08/2025,Leicester,Birmingham,2,0,H,2526,E1
30/08/2025,Middlesbrough,Sheffield United,1,0,H,2526,E1
30/08/2025,QPR,Charlton,3,1,H,2526,E1
30/08/2025,Stoke,West Brom,0,1,A,2526,E1
30/08/2025,Blackburn,Norwich,0,2,A,2526,E1
30/08/2025,Bristol City,Hull,4,2,H,2526,E1
30/08/2025,Ipswich,Derby,2,2,D,2526,E1
30/08/2025,Millwall,Wrexham,0,2,A,2526,E1
30/08/2025,Oxford,Coventry,2,2,D,2526,E1
30/08/2025,Portsmouth,Preston,1,0,H,2526,E1
30/08/2025,Sheffield Weds,Swansea,0,2,A,2526,E1
30/08/2025,Watford,Southampton,2,2,D,2526,E1
12/09/2025,Ipswich,Sheffield United,5,0,H,2526,E1
13/09/2025,Charlton,Millwall,1,1,D,2526,E1
13/09/2025,Oxford,Leicester,2,2,D,2526,E1
13/09/2025,Preston,Middlesbrough,2,2,D,2526,E1
13/09/2025,Coventry,Norwich,1,1,D,2526,E1
13/09/2025,Sheffield Weds,Bristol City,0,3,A,2526,E1
13/09/2025,Stoke,Birmingham,1,0,H,2526,E1
13/09/2025,Swansea,Hull,2,2,D,2526,E1
13/09/2025,Watford,Blackburn,0,1,A,2526,E1
13/09/2025,West Brom,Derby,0,1,A,2526,E1
13/09/2025,Wrexham,QPR,1,3,A,2526,E1
14/09/2025,Southampton,Portsmouth,0,0,D,2526,E1
