Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,Season,Division
06/08/2021,Bournemouth,West Brom,2,2,D,2122,E1
07/08/2021,Blackburn,Swansea,2,1,H,2122,E1
07/08/2021,Bristol City,Blackpool,1,1,D,2122,E1
07/08/2021,Cardiff,Barnsley,1,1,D,2122,E1
07/08/2021,Derby,Huddersfield,1,1,D,2122,E1
07/08/2021,Luton,Peterboro,3,0,H,2122,E1
07/08/2021,Preston,Hull,1,4,A,2122,E1
07/08/2021,QPR,Millwall,1,1,D,2122,E1
07/08/2021,Stoke,Reading,3,2,H,2122,E1
07/08/2021,Sheffield United,Birmingham,0,1,A,2122,E1
08/08/2021,Fulham,Middlesbrough,1,1,D,2122,E1
08/08/2021,Coventry,Nott'm Forest,2,1,H,2122,E1
14/08/2021,Peterboro,Derby,2,1,H,2122,E1
14/08/2021,Barnsley,Coventry,1,0,H,2122,E1
14/08/2021,Birmingham,Stoke,0,0,D,2122,E1
14/08/2021,Blackpool,Cardiff,0,2,A,2122,E1
14/08/2021,Huddersfield,Fulham,1,5,A,2122,E1
14/08/2021,Hull,QPR,0,3,A,2122,E1
14/08/2021,Middlesbrough,Bristol City,2,1,H,2122,E1
14/08/2021,Millwall,Blackburn,1,1,D,2122,E1
14/08/2021,Nott'm Forest,Bournemouth,1,2,A,2122,E1
14/08/2021,Reading,Preston,2,1,H,2122,E1
14/08/2021,West Brom,Luton,3,2,H,2122,E1
14/08/2021,Swansea,Sheffield United,0,0,D,2122,E1
17/08/2021,Barnsley,Luton,0,1,A,2122,E1
17/08/2021,Blackpool,Coventry,0,1,A,2122,E1
17/08/2021,Huddersfield,Preston,1,0,H,2122,E1
17/08/2021,Millwall,Fulham,1,2,A,2122,E1
17/08/2021,Peterboro,Cardiff,2,2,D,2122,E1
17/08/2021,Swansea,Stoke,1,3,A,2122,E1
17/08/2021,Reading,Bristol City,2,3,A,2122,E1
18/08/2021,Birmingham,Bournemouth,0,2,A,2122,E1
