Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,Season,Division
09/08/2024,Blackburn,Derby,4,2,H,2425,E1
09/08/2024,Preston,Sheffield United,0,2,A,2425,E1
10/08/2024,Cardiff,Sunderland,0,2,A,2425,E1
10/08/2024,Hull,Bristol City,1,1,D,2425,E1
10/08/2024,Leeds,Portsmouth,3,3,D,2425,E1
10/08/2024,Middlesbrough,Swansea,1,0,H,2425,E1
10/08/2024,Millwall,Watford,2,3,A,2425,E1
10/08/2024,Oxford,Norwich,2,0,H,2425,E1
10/08/2024,QPR,West Brom,1,3,A,2425,E1
10/08/2024,Stoke,Coventry,1,0,H,2425,E1
11/08/2024,Sheffield Weds,Plymouth,4,0,H,2425,E1
12/08/2024,Luton,Burnley,1,4,A,2425,E1
16/08/2024,Coventry,Oxford,3,2,H,2425,E1
17/08/2024,Derby,Middlesbrough,1,0,H,2425,E1
17/08/2024,Portsmouth,Luton,0,0,D,2425,E1
17/08/2024,West Brom,Leeds,0,0,D,2425,E1
17/08/2024,Bristol City,Millwall,4,3,H,2425,E1
17/08/2024,Burnley,Cardiff,5,0,H,2425,E1
17/08/2024,Norwich,Blackburn,2,2,D,2425,E1
17/08/2024,Plymouth,Hull,1,1,D,2425,E1
17/08/2024,Sheffield United,QPR,2,2,D,2425,E1
17/08/2024,Swansea,Preston,3,0,H,2425,E1
17/08/2024,Watford,Stoke,3,0,H,2425,E1
18/08/2024,Sunderland,Sheffield Weds,4,0,H,2425,E1
23/08/2024,Sheffield Weds,Leeds,0,2,A,2425,E1
24/08/2024,Bristol City,Coventry,1,1,D,2425,E1
24/08/2024,Hull,Millwall,0,0,D,2425,E1
24/08/2024,QPR,Plymouth,1,1,D,2425,E1
24/08/2024,Blackburn,Oxford,2,1,H,2425,E1
24/08/2024,Middlesbrough,Portsmouth,2,2,D,2425,E1
24/08/2024,Norwich,Sheffield United,1,1,D,2425,E1
24/08/2024,Preston,Luton,1,0,H,2425,E1
24/08/2024,Stoke,West Brom,1,2,A,2425,E1
24/08/2024,Sunderland,Burnley,1,0,H,2425,E1
24/08/2024,Watford,Derby,2,1,H,2425,E1
25/08/2024,Swansea,Cardiff,1,1,D,2425,E1
30/08/2024,Luton,QPR,1,2,A,2425,E1
31/08/2024,Burnley,Blackburn,1,1,D,2425,E1
31/08/2024,Cardiff,Middlesbrough,0,2,A,2425,E1
31/08/2024,Coventry,Norwich,0,1,A,2425,E1
31/08/2024,Derby,Bristol City,3,0,H,2425,E1
31/08/2024,Leeds,Hull,2,0,H,2425,E1
31/08/2024,Millwall,Sheffield Weds,3,0,H,2425,E1
31/08/2024,Oxford,Preston,3,1,H,2425,E1
31/08/2024,Plymouth,Stoke,0,1,A,2425,E1
31/08/2024,Portsmouth,Sunderland,1,3,A,2425,E1
31/08/2024,West Brom,Swansea,1,0,H,2425,E1
01/09/2024,Sheffield United,Watford,1,0,H,2425,E1
13/09/2024,Hull,Sheffield United,0,2,A,2425,E1
14/09/2024,Leeds,Burnley,0,1,A,2425,E1
14/09/2024,Millwall,Luton,0,1,A,2425,E1
14/09/2024,Oxford,Stoke,1,0,H,2425,E1
14/09/2024,Blackburn,Bristol City,3,0,H,2425,E1
14/09/2024,Derby,Cardiff,1,0,H,2425,E1
14/09/2024,Middlesbrough,Preston,1,1,D,2425,E1
14/09/2024,Plymouth,Sunderland,3,2,H,2425,E1
14/09/2024,Sheffield Weds,QPR,1,1,D,2425,E1
14/09/2024,Swansea,Norwich,1,0,H,2425,E1
14/09/2024,Watford,Coventry,1,1,D,2425,E1
15/09/2024,Portsmouth,West Brom,0,3,A,2425,E1
20/09/2024,Stoke,Hull,1,3,A,2425,E1
21/09/2024,Norwich,Watford,4,1,H,2425,E1
21/09/2024,QPR,Millwall,1,1,D,2425,E1
21/09/2024,Sunderland,Middlesbrough,1,0,H,2425,E1
21/09/2024,Bristol City,Oxford,2,1,H,2425,E1
21/09/2024,Burnley,Portsmouth,2,1,H,2425,E1
21/09/2024,Cardiff,Leeds,0,2,A,2425,E1
21/09/2024,Coventry,Swansea,1,2,A,2425,E1
21/09/2024,Luton,Sheffield Weds,2,1,H,2425,E1
21/09/2024,Sheffield United,Derby,1,0,H,2425,E1
21/09/2024,West Brom,Plymouth,1,0,H,2425,E1
22/09/2024,Preston,Blackburn,0,0,D,2425,E1
27/09/2024,Plymouth,Luton,3,1,H,2425,E1
28/09/2024,Blackburn,QPR,2,0,H,2425,E1
28/09/2024,Derby,Norwich,2,3,A,2425,E1
28/09/2024,Sheffield Weds,West Brom,3,2,H,2425,E1
28/09/2024,Hull,Cardiff,4,1,H,2425,E1
28/09/2024,Leeds,Coventry,3,0,H,2425,E1
28/09/2024,Middlesbrough,Stoke,2,0,H,2425,E1
28/09/2024,Millwall,Preston,3,1,H,2425,E1
28/09/2024,Oxford,Burnley,0,0,D,2425,E1
28/09/2024,Portsmouth,Sheffield United,0,0,D,2425,E1
28/09/2024,Watford,Sunderland,2,1,H,2425,E1
29/09/2024,Swansea,Bristol City,1,1,D,2425,E1
01/10/2024,Burnley,Plymouth,1,0,H,2425,E1
01/10/2024,Cardiff,Millwall,1,0,H,2425,E1
01/10/2024,Coventry,Blackburn,3,0,H,2425,E1
01/10/2024,Luton,Oxford,2,2,D,2425,E1
01/10/2024,Norwich,Leeds,1,1,D,2425,E1
01/10/2024,QPR,Hull,1,3,A,2425,E1
