Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,Season,Division
02/08/2019,Luton,Middlesbrough,3,3,D,1920,E1
03/08/2019,Barnsley,Fulham,1,0,H,1920,E1
03/08/2019,Blackburn,Charlton,1,2,A,1920,E1
03/08/2019,Brentford,Birmingham,0,1,A,1920,E1
03/08/2019,Millwall,Preston,1,0,H,1920,E1
03/08/2019,Reading,Sheffield Weds,1,3,A,1920,E1
03/08/2019,Stoke,QPR,1,2,A,1920,E1
03/08/2019,Swansea,Hull,2,1,H,1920,E1
03/08/2019,Wigan,Cardiff,3,2,H,1920,E1
03/08/2019,Nott'm Forest,West Brom,1,2,A,1920,E1
04/08/2019,Bristol City,Leeds,1,3,A,1920,E1
05/08/2019,Huddersfield,Derby,1,2,A,1920,E1
10/08/2019,Leeds,Nott'm Forest,1,1,D,1920,E1
10/08/2019,Birmingham,Bristol City,1,1,D,1920,E1
10/08/2019,Cardiff,Luton,2,1,H,1920,E1
10/08/2019,Charlton,Stoke,3,1,H,1920,E1
10/08/2019,Derby,Swansea,0,0,D,1920,E1
10/08/2019,Fulham,Blackburn,2,0,H,1920,E1
10/08/2019,Hull,Reading,2,1,H,1920,E1
10/08/2019,Middlesbrough,Brentford,0,1,A,1920,E1
10/08/2019,Preston,Wigan,3,0,H,1920,E1
10/08/2019,QPR,Huddersfield,1,1,D,1920,E1
10/08/2019,Sheffield Weds,Barnsley,2,0,H,1920,E1
10/08/2019,West Brom,Millwall,1,1,D,1920,E1
16/08/2019,Huddersfield,Fulham,1,2,A,1920,E1
17/08/2019,Barnsley,Charlton,2,2,D,1920,E1
17/08/2019,Blackburn,Middlesbrough,1,0,H,1920,E1
17/08/2019,Brentford,Hull,1,1,D,1920,E1
17/08/2019,Bristol City,QPR,2,0,H,1920,E1
17/08/2019,Luton,West Brom,1,2,A,1920,E1
17/08/2019,Millwall,Sheffield Weds,1,0,H,1920,E1
17/08/2019,Nott'm Forest,Birmingham,3,0,H,1920,E1
17/08/2019,Stoke,Derby,2,2,D,1920,E1
17/08/2019,Swansea,Preston,3,2,H,1920,E1
17/08/2019,Wigan,Leeds,0,2,A,1920,E1
18/08/2019,Reading,Cardiff,3,0,H,1920,E1
20/08/2019,Birmingham,Barnsley,2,0,H,1920,E1
20/08/2019,Derby,Bristol City,1,2,A,1920,E1
20/08/2019,Hull,Blackburn,0,1,A,1920,E1
20/08/2019,Middlesbrough,Wigan,1,0,H,1920,E1
20/08/2019,Sheffield Weds,Luton,1,0,H,1920,E1
21/08/2019,Cardiff,Huddersfield,2,1,H,1920,E1
21/08/2019,Charlton,Nott'm Forest,1,1,D,1920,E1
21/08/2019,Fulham,Millwall,4,0,H,1920,E1
21/08/2019,Leeds,Brentford,1,0,H,1920,E1
21/08/2019,Preston,Stoke,3,1,H,1920,E1
21/08/2019,QPR,Swansea,1,3,A,1920,E1
21/08/2019,West Brom,Reading,1,1,D,1920,E1
24/08/2019,Derby,West Brom,1,1,D,1920,E1
24/08/2019,Barnsley,Luton,1,3,A,1920,E1
24/08/2019,Blackburn,Cardiff,0,0,D,1920,E1
24/08/2019,Charlton,Brentford,1,0,H,1920,E1
24/08/2019,Fulham,Nott'm Forest,1,2,A,1920,E1
24/08/2019,Huddersfield,Reading,0,2,A,1920,E1
24/08/2019,Hull,Bristol City,1,3,A,1920,E1
24/08/2019,Middlesbrough,Millwall,1,1,D,1920,E1
24/08/2019,Preston,Sheffield Weds,2,1,H,1920,E1
24/08/2019,QPR,Wigan,3,1,H,1920,E1
24/08/2019,Stoke,Leeds,0,3,A,1920,E1
25/08/2019,Swansea,Birmingham,3,0,H,1920,E1
30/08/2019,Cardiff,Fulham,1,1,D,1920,E1
31/08/2019,Bristol City,Middlesbrough,2,2,D,1920,E1
31/08/2019,Birmingham,Stoke,2,1,H,1920,E1
31/08/2019,Brentford,Derby,3,0,H,1920,E1
31/08/2019,Leeds,Swansea,0,1,A,1920,E1
31/08/2019,Luton,Huddersfield,2,1,H,1920,E1
31/08/2019,Millwall,Hull,1,1,D,1920,E1
31/08/2019,Nott'm Forest,Preston,1,1,D,1920,E1
31/08/2019,Reading,Charlton,0,2,A,1920,E1
31/08/2019,Sheffield Weds,QPR,1,2,A,1920,E1
31/08/2019,West Brom,Blackburn,3,2,H,1920,E1
31/08/2019,Wigan,Barnsley,0,0,D,1920,E1
13/09/2019,Derby,Cardiff,1,1,D,1920,E1
14/09/2019,Fulham,West Brom,1,1,D,1920,E1
14/09/2019,Blackburn,Millwall,2,0,H,1920,E1
14/09/2019,Charlton,Birmingham,0,1,A,1920,E1
14/09/2019,Hull,Wigan,2,2,D,1920,E1
14/09/2019,Middlesbrough,Reading,1,0,H,1920,E1
14/09/2019,Preston,Brentford,2,0,H,1920,E1
14/09/2019,QPR,Luton,3,2,H,1920,E1
14/09/2019,Stoke,Bristol City,1,2,A,1920,E1
14/09/2019,Swansea,Nott'm Forest,0,1,A,1920,E1
15/09/2019,Huddersfield,Sheffield Weds,0,2,A,1920,E1
15/09/2019,Barnsley,Leeds,0,2,A,1920,E1
21/09/2019,Leeds,Derby,1,1,D,1920,E1
21/09/2019,Birmingham,Preston,0,1,A,1920,E1
21/09/2019,Brentford,Stoke,0,0,D,1920,E1
21/09/2019,Bristol City,Swansea,0,0,D,1920,E1
21/09/2019,Cardiff,Middlesbrough,1,0,H,1920,E1
21/09/2019,Luton,Hull,0,3,A,1920,E1
21/09/2019,Millwall,QPR,1,2,A,1920,E1
21/09/2019,Nott'm Forest,Barnsley,1,0,H,1920,E1
21/09/2019,Reading,Blackburn,1,2,A,1920,E1
21/09/2019,Sheffield Weds,Fulham,1,1,D,1920,E1
21/09/2019,Wigan,Charlton,2,0,H,1920,E1
22/09/2019,West Brom,Huddersfield,4,2,H,1920,E1
27/09/2019,Fulham,Wigan,2,0,H,1920,E1
27/09/2019,Stoke,Nott'm Forest,2,3,A,1920,E1
28/09/2019,QPR,West Brom,0,2,A,1920,E1
28/09/2019,Blackburn,Luton,1,2,A,1920,E1
28/09/2019,Charlton,Leeds,1,0,H,1920,E1
28/09/2019,Derby,Birmingham,3,2,H,1920,E1
28/09/2019,Huddersfield,Millwall,1,1,D,1920,E1
28/09/2019,Hull,Cardiff,2,2,D,1920,E1
28/09/2019,Middlesbrough,Sheffield Weds,1,4,A,1920,E1
28/09/2019,Preston,Bristol City,3,3,D,1920,E1
28/09/2019,Swansea,Reading,1,1,D,1920,E1
29/09/2019,Barnsley,Brentford,1,3,A,1920,E1
01/10/2019,Blackburn,Nott'm Forest,1,1,D,1920,E1
01/10/2019,Hull,Sheffield Weds,1,0,H,1920,E1
01/10/2019,Leeds,West Brom,1,0,H,1920,E1
01/10/2019,Middlesbrough,Preston,1,1,D,1920,E1
01/10/2019,Wigan,Birmingham,1,0,H,1920,E1
01/10/2019,Reading,Fulham,1,4,A,1920,E1
01/10/2019,Stoke,Huddersfield,0,1,A,1920,E1
02/10/2019,Barnsley,Derby,2,2,D,1920,E1
02/10/2019,Brentford,Bristol City,1,1,D,1920,E1
02/10/2019,Cardiff,QPR,3,0,H,1920,E1
02/10/2019,Charlton,Swansea,1,2,A,1920,E1
02/10/2019,Luton,Millwall,1,1,D,1920,E1
04/10/2019,Birmingham,Middlesbrough,2,1,H,1920,E1
05/10/2019,Fulham,Charlton,2,2,D,1920,E1
05/10/2019,Bristol City,Reading,1,0,H,1920,E1
05/10/2019,Derby,Luton,2,0,H,1920,E1
05/10/2019,Huddersfield,Hull,3,0,H,1920,E1
05/10/2019,Millwall,Leeds,2,1,H,1920,E1
05/10/2019,Nott'm Forest,Brentford,1,0,H,1920,E1
05/10/2019,Preston,Barnsley,5,1,H,1920,E1
05/10/2019,QPR,Blackburn,4,2,H,1920,E1
05/10/2019,Sheffield Weds,Wigan,1,0,H,1920,E1
05/10/2019,Swansea,Stoke,1,2,A,1920,E1
05/10/2019,West Brom,Cardiff,4,2,H,1920,E1
18/10/2019,Cardiff,Sheffield Weds,1,1,D,1920,E1
19/10/2019,Blackburn,Huddersfield,2,2,D,1920,E1
19/10/2019,Barnsley,Swansea,1,1,D,1920,E1
19/10/2019,Brentford,Millwall,3,2,H,1920,E1
19/10/2019,Charlton,Derby,3,0,H,1920,E1
19/10/2019,Hull,QPR,2,3,A,1920,E1
19/10/2019,Leeds,Birmingham,1,0,H,1920,E1
19/10/2019,Luton,Bristol City,3,0,H,1920,E1
19/10/2019,Middlesbrough,West Brom,0,1,A,1920,E1
19/10/2019,Reading,Preston,1,0,H,1920,E1
19/10/2019,Stoke,Fulham,2,0,H,1920,E1
20/10/2019,Wigan,Nott'm Forest,1,0,H,1920,E1
22/10/2019,Birmingham,Blackburn,1,0,H,1920,E1
22/10/2019,Millwall,Cardiff,2,2,D,1920,E1
22/10/2019,Preston,Leeds,1,1,D,1920,E1
22/10/2019,QPR,Reading,2,2,D,1920,E1
22/10/2019,Sheffield Weds,Stoke,1,0,H,1920,E1
22/10/2019,Swansea,Brentford,0,3,A,1920,E1
22/10/2019,West Brom,Barnsley,2,2,D,1920,E1
23/10/2019,Bristol City,Charlton,2,1,H,1920,E1
23/10/2019,Derby,Wigan,1,0,H,1920,E1
23/10/2019,Fulham,Luton,3,2,H,1920,E1
23/10/2019,Huddersfield,Middlesbrough,0,0,D,1920,E1
23/10/2019,Nott'm Forest,Hull,1,2,A,1920,E1
26/10/2019,Sheffield Weds,Leeds,0,0,D,1920,E1
26/10/2019,Birmingham,Luton,2,1,H,1920,E1
26/10/2019,Huddersfield,Barnsley,2,1,H,1920,E1
26/10/2019,Hull,Derby,2,0,H,1920,E1
26/10/2019,Middlesbrough,Fulham,0,0,D,1920,E1
26/10/2019,Millwall,Stoke,2,0,H,1920,E1
26/10/2019,Preston,Blackburn,3,2,H,1920,E1
26/10/2019,West Brom,Charlton,2,2,D,1920,E1
27/10/2019,Swansea,Cardiff,1,0,H,1920,E1
27/10/2019,Bristol City,Wigan,2,2,D,1920,E1
28/10/2019,QPR,Brentford,1,3,A,1920,E1
01/11/2019,Barnsley,Bristol City,2,2,D,1920,E1
02/11/2019,Wigan,Swansea,1,2,A,1920,E1
