Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,Season,Division
07/08/15,Brighton,Nott'm Forest,1,0,H,1516,E1
08/08/15,Birmingham,Reading,2,1,H,1516,E1
08/08/15,Blackburn,Wolves,1,2,A,1516,E1
08/08/15,Bolton,Derby,0,0,D,1516,E1
08/08/15,Brentford,Ipswich,2,2,D,1516,E1
08/08/15,Cardiff,Fulham,1,1,D,1516,E1
08/08/15,Charlton,QPR,2,0,H,1516,E1
08/08/15,Hull,Huddersfield,2,0,H,1516,E1
08/08/15,Leeds,Burnley,1,1,D,1516,E1
08/08/15,Rotherham,Milton Keynes Dons,1,4,A,1516,E1
08/08/15,Sheffield Weds,Bristol City,2,0,H,1516,E1
09/08/15,Preston,Middlesbrough,0,0,D,1516,E1
15/08/15,Bristol City,Brentford,2,4,A,1516,E1
15/08/15,Burnley,Birmingham,2,2,D,1516,E1
15/08/15,Derby,Charlton,1,1,D,1516,E1
15/08/15,Fulham,Brighton,1,2,A,1516,E1
15/08/15,Huddersfield,Blackburn,1,1,D,1516,E1
15/08/15,Ipswich,Sheffield Weds,2,1,H,1516,E1
15/08/15,Middlesbrough,Bolton,3,0,H,1516,E1
15/08/15,Milton Keynes Dons,Preston,0,1,A,1516,E1
15/08/15,Nott'm Forest,Rotherham,2,1,H,1516,E1
15/08/15,QPR,Cardiff,2,2,D,1516,E1
16/08/15,Reading,Leeds,0,0,D,1516,E1
16/08/15,Wolves,Hull,1,1,D,1516,E1
18/08/15,Blackburn,Cardiff,1,1,D,1516,E1
18/08/15,Derby,Middlesbrough,1,1,D,1516,E1
18/08/15,Huddersfield,Brighton,1,1,D,1516,E1
18/08/15,Ipswich,Burnley,2,0,H,1516,E1
18/08/15,Milton Keynes Dons,Bolton,1,0,H,1516,E1
18/08/15,Nott'm Forest,Charlton,0,0,D,1516,E1
18/08/15,Rotherham,Preston,0,0,D,1516,E1
19/08/15,Bristol City,Leeds,2,2,D,1516,E1
19/08/15,Hull,Fulham,2,1,H,1516,E1
19/08/15,Sheffield Weds,Reading,1,1,D,1516,E1
19/08/15,Wolves,QPR,2,3,A,1516,E1
21/08/15,Birmingham,Derby,1,1,D,1516,E1
22/08/15,Bolton,Nott'm Forest,1,1,D,1516,E1
22/08/15,Brighton,Blackburn,1,0,H,1516,E1
22/08/15,Burnley,Brentford,1,0,H,1516,E1
22/08/15,Cardiff,Wolves,2,0,H,1516,E1
22/08/15,Charlton,Hull,2,1,H,1516,E1
